Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-06-10 08:05,1,2,5002,08:04
2020-06-10 08:10,1,2,5003,08:09
2020-06-10 08:15,5,2,106,08:14
2020-06-10 08:20,2,3,109,08:19
2020-06-10 08:25,3,4,5007,08:24
2020-06-10 08:30,1,5,110,08:29
2020-06-10 08:35,1,6,112,08:34
2020-06-10 08:40,1,5,112,08:39
2020-06-10 08:45,4,5,5016,08:44
2020-06-10 08:50,2,3,5017,08:49
2020-06-10 08:55,1,4,123,08:54
2020-06-10 09:00,2,3,125,08:59
2020-06-10 09:05,4,3,5025,09:04
2020-06-10 09:10,4,4,5028,09:09
2020-06-10 09:15,4,4,5030,09:14
2020-06-10 09:20,3,6,5032,09:20
2020-06-10 09:25,4,4,127,09:24
2020-06-10 09:30,4,8,5037,09:29
2020-06-10 09:35,6,8,5037,09:33
2020-06-10 09:40,8,8,5037,09:36
2020-06-10 09:45,10,8,5037,09:44
2020-06-10 09:50,11,8,5037,09:49
2020-06-10 09:55,1,16,5046,09:54
2020-06-10 10:00,1,15,5047,09:56
2020-06-10 10:05,3,9,5051,10:04
2020-06-10 10:10,1,5,137,10:10
2020-06-10 10:15,4,5,137,10:14
2020-06-10 10:20,1,4,141,10:19
2020-06-10 10:25,6,5,5059,10:24
2020-06-10 10:30,2,5,148,10:29
2020-06-10 10:35,3,5,5063,10:34
2020-06-10 10:40,2,4,152,10:39
2020-06-10 10:45,4,4,153,10:44
2020-06-10 10:50,1,4,5071,10:49
2020-06-10 10:55,1,3,162,10:54
2020-06-10 11:00,4,2,5074,10:59
2020-06-10 11:05,5,2,5077,11:04
2020-06-10 11:10,3,3,169,11:09
2020-06-10 11:15,4,5,172,11:15
2020-06-10 11:20,6,5,173,11:19
2020-06-10 11:25,4,6,5087,11:24
2020-06-10 11:30,3,5,5090,11:29
2020-06-10 11:35,0,4,,11:34
2020-06-10 11:40,1,3,184,11:39
2020-06-10 11:45,2,3,187,11:44
2020-06-10 11:50,2,2,189,11:49
2020-06-10 11:55,1,3,193,11:54
2020-06-10 12:00,0,2,,11:59
2020-06-10 12:05,0,2,,12:04
2020-06-10 12:10,0,2,,12:09
2020-06-10 12:15,1,2,208,12:14
2020-06-10 12:20,0,2,,12:19
2020-06-10 12:25,0,2,,12:24
2020-06-10 12:30,0,2,,12:30
2020-06-10 12:35,0,2,,12:34
2020-06-10 12:40,1,2,227,12:39
2020-06-10 12:45,0,2,,12:44
2020-06-10 12:50,0,2,,12:49
2020-06-10 12:55,0,2,,12:54
2020-06-10 13:00,1,2,238,12:59
2020-06-10 13:05,0,2,,13:04
2020-06-10 13:10,0,2,,13:09
2020-06-10 13:15,0,2,,13:14
2020-06-10 13:20,0,2,,13:19
2020-06-10 13:25,2,2,5136,13:24
2020-06-10 13:30,3,2,258,13:29
2020-06-10 13:35,3,3,261,13:34
2020-06-10 13:40,2,3,263,13:39
2020-06-10 13:45,0,4,,13:44
2020-06-10 13:50,0,4,,13:50
2020-06-10 13:55,0,3,,13:54
2020-06-10 14:00,0,3,,13:59
2020-06-10 14:05,1,2,5156,14:04
2020-06-10 14:10,3,2,5157,14:09
2020-06-10 14:15,5,3,5158,14:14
2020-06-10 14:20,0,4,,14:19
2020-06-10 14:25,1,3,5166,14:24
2020-06-10 14:30,0,2,,14:29
2020-06-10 14:35,2,2,5170,14:34
2020-06-10 14:40,1,2,297,14:39
2020-06-10 14:45,3,3,5176,14:44
2020-06-10 14:50,2,4,302,14:49
2020-06-10 14:55,1,4,302,14:54
2020-06-10 15:00,0,4,,14:59
2020-06-10 15:05,2,3,5185,15:04
2020-06-10 15:10,0,2,,15:09
2020-06-10 15:15,0,2,,15:14
2020-06-10 15:20,1,2,317,15:19
2020-06-10 15:25,2,3,5196,15:24
2020-06-10 15:30,0,3,,15:29
2020-06-10 15:35,0,3,,15:34
2020-06-10 15:40,1,3,325,15:39
2020-06-10 15:45,2,3,5204,15:44
2020-06-10 15:50,2,3,5206,15:49
2020-06-10 15:55,1,3,333,15:54
2020-06-10 16:00,0,3,,15:59
2020-06-10 16:05,0,2,,16:04
2020-06-10 16:10,0,2,,16:09
2020-06-10 16:15,1,2,346,16:14
2020-06-10 16:20,0,2,,16:19
2020-06-10 16:25,2,2,351,16:25
2020-06-10 16:30,2,3,352,16:29
2020-06-10 16:35,0,4,,16:34
2020-06-10 16:40,0,3,,16:39
2020-06-10 16:45,2,2,5223,16:44
2020-06-10 16:50,0,2,,16:50
2020-06-10 16:55,2,2,368,16:54
2020-06-10 17:00,0,2,,16:59
2020-06-10 17:05,1,2,5228,17:04
2020-06-10 17:10,0,2,,17:09
2020-06-10 17:15,0,2,,17:14
2020-06-10 17:20,0,2,,17:19
2020-06-10 17:25,1,2,5235,17:24
2020-06-10 17:30,0,2,,17:29
2020-06-10 17:35,0,2,,17:34
2020-06-10 17:40,0,2,,17:40
2020-06-10 17:45,0,2,,17:44
2020-06-10 17:50,0,2,,17:49
2020-06-10 17:55,0,2,,17:54
2020-06-10 18:00,0,2,,17:59
