Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-02-11 08:05,4,4,106,07:57
2020-02-11 08:10,4,4,108,08:03
2020-02-11 08:15,5,4,109,08:08
2020-02-11 08:20,5,3,109,08:12
2020-02-11 08:25,5,4,7,08:15
2020-02-11 08:30,4,5,111,08:23
2020-02-11 08:35,3,9,116,08:28
2020-02-11 08:40,5,8,26,08:32
2020-02-11 08:45,7,8,28,08:37
2020-02-11 08:50,7,7,147,08:41
2020-02-11 08:55,5,8,45,08:47
2020-02-11 09:00,8,8,45,08:52
2020-02-11 09:05,8,8,141,08:58
2020-02-11 09:10,9,10,2,09:02
2020-02-11 09:15,10,9,12,09:08
2020-02-11 09:20,11,9,18,09:11
2020-02-11 09:25,12,10,25,09:16
2020-02-11 09:30,13,9,148,09:22
2020-02-11 09:35,12,12,136,09:26
2020-02-11 09:40,12,11,29,09:30
2020-02-11 09:45,16,14,123,09:37
2020-02-11 09:50,16,21,125,09:42
2020-02-11 09:55,13,34,81,09:45
2020-02-11 10:00,11,28,131,09:52
2020-02-11 10:05,12,23,134,09:58
2020-02-11 10:10,11,16,136,10:03
2020-02-11 10:15,13,17,138,10:08
2020-02-11 10:20,9,17,142,10:13
2020-02-11 10:25,12,16,143,10:18
2020-02-11 10:30,13,16,145,10:22
2020-02-11 10:35,8,14,151,10:28
2020-02-11 10:40,8,12,153,10:32
2020-02-11 10:45,9,10,157,10:38
2020-02-11 10:50,11,10,92,10:40
2020-02-11 10:55,13,10,159,10:48
2020-02-11 11:00,12,10,101,10:50
2020-02-11 11:05,9,10,166,10:56
2020-02-11 11:10,12,10,9,11:02
2020-02-11 11:15,12,10,170,11:08
2020-02-11 11:20,13,12,11,11:13
2020-02-11 11:25,12,13,175,11:18
2020-02-11 11:30,15,13,108,11:20
2020-02-11 11:35,14,12,178,11:27
2020-02-11 11:40,13,16,77,11:31
2020-02-11 11:45,14,15,183,11:38
2020-02-11 11:50,18,15,110,11:41
2020-02-11 11:55,18,16,99,11:46
2020-02-11 12:00,19,16,188,11:51
2020-02-11 12:05,20,21,194,11:58
2020-02-11 12:10,19,21,52,12:01
2020-02-11 12:15,13,14,203,12:07
2020-02-11 12:20,11,15,207,12:13
2020-02-11 12:25,10,15,211,12:17
2020-02-11 12:30,5,12,217,12:23
2020-02-11 12:35,5,9,220,12:28
2020-02-11 12:40,4,4,224,12:33
2020-02-11 12:45,5,4,224,12:38
2020-02-11 12:50,6,3,227,12:43
2020-02-11 12:55,11,3,109,12:47
2020-02-11 13:00,8,6,231,12:53
2020-02-11 13:05,5,6,236,12:58
2020-02-11 13:10,4,6,40,13:00
2020-02-11 13:15,5,6,94,13:07
2020-02-11 13:20,4,7,241,13:11
2020-02-11 13:25,8,5,132,13:18
2020-02-11 13:30,8,5,244,13:22
2020-02-11 13:35,10,5,245,13:27
2020-02-11 13:40,12,4,245,13:33
2020-02-11 13:45,12,5,137,13:37
2020-02-11 13:50,12,6,247,13:42
2020-02-11 13:55,15,9,130,13:45
2020-02-11 14:00,11,15,253,13:53
2020-02-11 14:05,10,16,256,13:58
2020-02-11 14:10,10,15,258,14:02
2020-02-11 14:15,10,13,259,14:08
2020-02-11 14:20,13,13,259,14:13
2020-02-11 14:25,14,12,261,14:18
2020-02-11 14:30,11,16,264,14:22
2020-02-11 14:35,16,15,264,14:28
2020-02-11 14:40,8,16,272,14:32
2020-02-11 14:45,7,10,276,14:37
2020-02-11 14:50,7,8,279,14:43
2020-02-11 14:55,11,8,72,14:47
2020-02-11 15:00,12,6,279,14:52
2020-02-11 15:05,15,7,42,14:58
2020-02-11 15:10,13,12,284,15:03
2020-02-11 15:15,14,15,286,15:07
2020-02-11 15:20,9,15,291,15:13
2020-02-11 15:25,9,14,293,15:17
2020-02-11 15:30,8,13,297,15:23
2020-02-11 15:35,6,11,299,15:26
2020-02-11 15:40,5,10,301,15:32
2020-02-11 15:45,3,9,306,15:38
2020-02-11 15:50,3,9,306,15:38
2020-02-11 15:55,3,4,124,15:46
2020-02-11 16:00,3,4,122,15:51
2020-02-11 16:05,3,3,319,15:58
2020-02-11 16:10,3,3,322,16:02
2020-02-11 16:15,7,3,323,16:07
2020-02-11 16:20,7,3,325,16:12
2020-02-11 16:25,8,3,56,16:18
2020-02-11 16:30,10,4,60,16:23
2020-02-11 16:35,12,4,140,16:25
2020-02-11 16:40,12,5,328,16:33
2020-02-11 16:45,12,10,75,16:36
2020-02-11 16:50,12,11,331,16:42
2020-02-11 16:55,11,17,336,16:47
2020-02-11 17:00,10,17,339,16:53
2020-02-11 17:05,12,16,69,16:56
2020-02-11 17:10,13,14,142,17:02
2020-02-11 17:15,16,11,66,17:06
2020-02-11 17:20,15,12,65,17:13
2020-02-11 17:25,16,12,346,17:18
2020-02-11 17:30,13,17,350,17:22
2020-02-11 17:35,10,17,356,17:28
2020-02-11 17:40,7,16,361,17:33
2020-02-11 17:45,6,14,364,17:38
2020-02-11 17:50,4,12,366,17:41
2020-02-11 17:55,1,9,370,17:48
2020-02-11 18:00,0,8,,17:52
