Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-07-29 08:05,3,2,105,08:04
2020-07-29 08:10,3,3,106,08:09
2020-07-29 08:15,1,4,112,08:14
2020-07-29 08:20,0,3,,08:19
2020-07-29 08:25,1,2,121,08:24
2020-07-29 08:30,2,2,126,08:29
2020-07-29 08:35,2,2,128,08:34
2020-07-29 08:40,2,2,130,08:39
2020-07-29 08:45,0,3,,08:44
2020-07-29 08:50,1,3,5014,08:49
2020-07-29 08:55,1,3,141,08:54
2020-07-29 09:00,3,3,142,08:59
2020-07-29 09:05,5,4,144,09:04
2020-07-29 09:10,3,5,5021,09:09
2020-07-29 09:15,0,6,,09:14
2020-07-29 09:20,1,5,153,09:19
2020-07-29 09:25,0,5,,09:24
2020-07-29 09:30,1,5,157,09:29
2020-07-29 09:35,1,4,161,09:34
2020-07-29 09:40,2,4,163,09:39
2020-07-29 09:45,3,4,166,09:44
2020-07-29 09:50,4,4,167,09:49
2020-07-29 09:55,4,4,168,09:54
2020-07-29 10:00,3,8,172,09:59
2020-07-29 10:05,3,9,176,10:04
2020-07-29 10:10,4,7,179,10:09
2020-07-29 10:15,6,6,181,10:14
2020-07-29 10:20,6,6,185,10:19
2020-07-29 10:25,5,7,187,10:24
2020-07-29 10:30,5,8,189,10:29
2020-07-29 10:35,5,10,192,10:34
2020-07-29 10:40,5,11,195,10:39
2020-07-29 10:45,6,11,197,10:44
2020-07-29 10:50,7,11,199,10:49
2020-07-29 10:55,5,11,202,10:54
2020-07-29 11:00,6,11,204,10:59
2020-07-29 11:05,9,12,205,11:04
2020-07-29 11:10,8,14,207,11:09
2020-07-29 11:15,4,14,213,11:14
2020-07-29 11:20,6,13,215,11:19
2020-07-29 11:25,6,9,220,11:24
2020-07-29 11:30,3,7,223,11:29
2020-07-29 11:35,3,6,226,11:34
2020-07-29 11:40,5,6,228,11:39
2020-07-29 11:45,4,7,232,11:44
2020-07-29 11:50,3,8,235,11:49
2020-07-29 11:55,6,8,235,11:54
2020-07-29 12:00,3,8,240,11:59
2020-07-29 12:05,4,8,243,12:04
2020-07-29 12:10,3,8,245,12:09
2020-07-29 12:15,5,7,247,12:14
2020-07-29 12:20,7,7,247,12:19
2020-07-29 12:25,3,8,255,12:24
2020-07-29 12:30,2,6,258,12:29
2020-07-29 12:35,0,5,,12:34
2020-07-29 12:40,1,5,263,12:39
2020-07-29 12:45,3,4,265,12:44
2020-07-29 12:50,2,5,269,12:49
2020-07-29 12:55,3,5,270,12:54
2020-07-29 13:00,1,5,273,12:59
2020-07-29 13:05,4,5,276,13:04
2020-07-29 13:10,1,6,279,13:09
2020-07-29 13:15,0,6,,13:14
2020-07-29 13:20,1,5,285,13:19
2020-07-29 13:25,0,4,,13:24
2020-07-29 13:30,0,3,,13:29
2020-07-29 13:35,0,3,,13:34
2020-07-29 13:40,1,2,299,13:39
2020-07-29 13:45,0,2,,13:44
2020-07-29 13:50,2,2,305,13:49
2020-07-29 13:55,3,3,310,13:54
2020-07-29 14:00,5,3,313,13:59
2020-07-29 14:05,4,5,316,14:04
2020-07-29 14:10,3,7,5162,14:09
2020-07-29 14:15,2,6,323,14:14
2020-07-29 14:20,0,4,,14:19
2020-07-29 14:25,1,2,333,14:24
2020-07-29 14:30,1,2,335,14:29
2020-07-29 14:35,2,2,340,14:34
2020-07-29 14:40,1,3,343,14:39
2020-07-29 14:45,1,3,348,14:44
2020-07-29 14:50,6,3,352,14:49
2020-07-29 14:55,6,3,353,14:54
2020-07-29 15:00,4,6,357,14:59
2020-07-29 15:05,6,8,360,15:04
2020-07-29 15:10,3,7,365,15:09
2020-07-29 15:15,0,5,,15:14
2020-07-29 15:20,5,5,370,15:19
2020-07-29 15:25,3,4,373,15:24
2020-07-29 15:30,4,5,374,15:29
2020-07-29 15:35,4,6,376,15:34
2020-07-29 15:40,5,8,380,15:39
2020-07-29 15:45,7,8,382,15:44
2020-07-29 15:50,5,7,384,15:49
2020-07-29 15:55,8,6,5228,15:54
2020-07-29 16:00,8,8,388,15:59
2020-07-29 16:05,6,9,391,16:04
2020-07-29 16:10,6,12,394,16:09
2020-07-29 16:15,4,14,397,16:14
2020-07-29 16:20,2,8,402,16:19
2020-07-29 16:25,1,5,405,16:24
2020-07-29 16:30,3,5,407,16:29
2020-07-29 16:35,1,4,411,16:34
2020-07-29 16:40,3,4,413,16:39
2020-07-29 16:45,5,5,416,16:44
2020-07-29 16:50,3,5,421,16:49
2020-07-29 16:55,0,5,,16:54
2020-07-29 17:00,1,4,429,16:59
2020-07-29 17:05,3,3,432,17:04
2020-07-29 17:10,4,3,435,17:09
2020-07-29 17:15,6,4,437,17:14
2020-07-29 17:20,7,5,438,17:19
2020-07-29 17:25,7,7,441,17:24
2020-07-29 17:30,5,10,444,17:29
2020-07-29 17:35,2,12,448,17:34
2020-07-29 17:40,1,12,450,17:39
2020-07-29 17:45,0,12,,17:44
2020-07-29 17:50,0,12,,17:49
2020-07-29 17:55,0,12,,17:54
2020-07-29 18:00,0,12,,17:59
