Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-01-25 08:05,2,6,110,07:58
2020-01-25 08:10,5,5,111,08:02
2020-01-25 08:15,2,3,116,08:07
2020-01-25 08:20,2,3,117,08:10
2020-01-25 08:25,0,3,,08:18
2020-01-25 08:30,0,4,,08:22
2020-01-25 08:35,2,5,130,08:28
2020-01-25 08:40,4,5,77,08:32
2020-01-25 08:45,3,4,71,08:38
2020-01-25 08:50,0,3,,08:43
2020-01-25 08:55,2,3,138,08:48
2020-01-25 09:00,7,3,141,08:53
2020-01-25 09:05,9,3,45,08:58
2020-01-25 09:10,8,3,143,09:02
2020-01-25 09:15,7,4,145,09:08
2020-01-25 09:20,5,7,148,09:11
2020-01-25 09:25,8,7,149,09:18
2020-01-25 09:30,8,7,151,09:23
2020-01-25 09:35,10,5,151,09:27
2020-01-25 09:40,10,6,61,09:31
2020-01-25 09:45,14,7,65,09:38
2020-01-25 09:50,13,9,64,09:43
2020-01-25 09:55,8,15,158,09:48
2020-01-25 10:00,9,12,158,09:53
2020-01-25 10:05,11,11,158,09:58
2020-01-25 10:10,8,15,162,10:03
2020-01-25 10:15,9,16,163,10:08
2020-01-25 10:20,9,21,165,10:13
2020-01-25 10:25,4,15,170,10:18
2020-01-25 10:30,7,16,28,10:22
2020-01-25 10:35,6,9,174,10:28
2020-01-25 10:40,8,7,174,10:33
2020-01-25 10:45,6,7,178,10:38
2020-01-25 10:50,6,7,38,10:41
2020-01-25 10:55,3,7,27,10:45
2020-01-25 11:00,10,7,25,10:52
2020-01-25 11:05,10,6,186,10:57
2020-01-25 11:10,10,5,51,11:01
2020-01-25 11:15,11,7,192,11:08
2020-01-25 11:20,12,9,9,11:13
2020-01-25 11:25,14,8,195,11:17
2020-01-25 11:30,13,9,198,11:23
2020-01-25 11:35,13,9,200,11:28
2020-01-25 11:40,15,10,7,11:32
2020-01-25 11:45,14,13,4,11:35
2020-01-25 11:50,10,18,208,11:43
2020-01-25 11:55,9,20,211,11:48
2020-01-25 12:00,5,18,216,11:52
2020-01-25 12:05,4,17,217,11:54
2020-01-25 12:10,4,17,217,11:54
2020-01-25 12:15,4,17,217,11:54
2020-01-25 12:20,4,17,217,11:54
2020-01-25 12:25,4,17,217,11:54
2020-01-25 12:30,4,17,217,11:54
2020-01-25 12:35,4,17,217,11:54
2020-01-25 12:40,4,17,217,11:54
2020-01-25 12:45,4,17,217,11:54
2020-01-25 12:50,4,17,217,11:54
2020-01-25 12:55,4,17,217,11:54
2020-01-25 13:00,4,17,217,11:54
