Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-10-05 08:05,3,2,103,08:04
2020-10-05 08:10,5,3,5001,08:09
2020-10-05 08:15,3,4,108,08:14
2020-10-05 08:20,1,5,111,08:19
2020-10-05 08:25,4,5,114,08:24
2020-10-05 08:30,6,5,115,08:29
2020-10-05 08:35,8,6,5010,08:34
2020-10-05 08:40,6,7,120,08:39
2020-10-05 08:45,9,7,120,08:44
2020-10-05 08:50,6,13,124,08:49
2020-10-05 08:55,4,14,127,08:54
2020-10-05 09:00,4,15,128,08:59
2020-10-05 09:10,4,15,133,09:09
2020-10-05 09:15,6,15,134,09:14
2020-10-05 09:20,8,15,5026,09:19
2020-10-05 09:25,5,12,138,09:24
2020-10-05 09:30,5,11,139,09:29
2020-10-05 09:35,5,11,141,09:34
2020-10-05 09:40,4,10,143,09:39
2020-10-05 09:45,3,11,145,09:44
2020-10-05 09:50,3,10,147,09:49
2020-10-05 09:55,5,7,5041,09:54
2020-10-05 10:00,5,6,150,09:59
2020-10-05 10:05,5,6,151,10:04
2020-10-05 10:10,5,6,153,10:09
2020-10-05 10:15,6,9,155,10:14
2020-10-05 10:20,5,10,157,10:19
2020-10-05 10:25,6,8,5061,10:24
2020-10-05 10:30,8,8,160,10:29
2020-10-05 10:35,3,10,165,10:34
2020-10-05 10:40,4,10,167,10:39
2020-10-05 10:45,3,10,171,10:44
2020-10-05 10:50,1,5,175,10:49
2020-10-05 10:55,2,2,180,10:54
2020-10-05 11:00,5,2,183,10:59
2020-10-05 11:05,7,3,186,11:04
2020-10-05 11:10,4,6,190,11:09
2020-10-05 11:15,5,8,193,11:14
2020-10-05 11:20,6,9,196,11:19
2020-10-05 11:25,4,7,200,11:24
2020-10-05 11:30,3,6,202,11:29
2020-10-05 11:35,3,5,207,11:34
2020-10-05 11:40,4,4,210,11:40
2020-10-05 11:45,7,4,212,11:44
2020-10-05 11:50,7,6,215,11:49
2020-10-05 11:55,6,6,216,11:54
2020-10-05 12:00,4,9,220,11:59
2020-10-05 12:05,4,10,222,12:04
2020-10-05 12:10,3,9,225,12:09
2020-10-05 12:15,5,8,226,12:14
2020-10-05 12:20,1,5,231,12:19
2020-10-05 12:25,0,3,,12:24
2020-10-05 12:30,2,3,239,12:29
2020-10-05 12:35,2,3,243,12:34
2020-10-05 12:40,3,3,244,12:39
2020-10-05 12:45,2,5,249,12:44
2020-10-05 12:50,2,4,254,12:49
2020-10-05 12:55,4,4,256,12:54
2020-10-05 13:00,5,5,259,12:59
2020-10-05 13:05,5,5,260,13:04
2020-10-05 13:10,2,7,264,13:09
2020-10-05 13:15,4,7,267,13:14
2020-10-05 13:20,5,7,270,13:19
2020-10-05 13:25,3,7,273,13:24
2020-10-05 13:30,5,7,273,13:29
2020-10-05 13:35,5,7,274,13:34
2020-10-05 13:40,4,9,277,13:39
2020-10-05 13:45,6,9,277,13:44
2020-10-05 13:50,7,10,278,13:49
2020-10-05 13:55,7,12,280,13:54
2020-10-05 14:00,6,14,283,13:59
2020-10-05 14:05,3,10,286,14:04
2020-10-05 14:10,4,8,288,14:09
2020-10-05 14:15,4,8,291,14:14
2020-10-05 14:20,3,7,294,14:19
2020-10-05 14:25,3,6,297,14:24
2020-10-05 14:30,5,6,299,14:29
2020-10-05 14:35,7,6,302,14:35
2020-10-05 14:40,7,6,5183,14:39
2020-10-05 14:45,6,8,311,14:44
2020-10-05 14:50,5,6,313,14:49
2020-10-05 14:55,5,6,317,14:54
2020-10-05 15:00,6,7,320,14:59
2020-10-05 15:05,10,7,5199,15:04
2020-10-05 15:10,5,7,324,15:09
2020-10-05 15:15,3,11,328,15:14
2020-10-05 15:20,4,9,331,15:19
2020-10-05 15:25,6,10,5213,15:24
2020-10-05 15:30,3,6,338,15:29
2020-10-05 15:35,4,6,340,15:34
2020-10-05 15:40,5,7,342,15:39
2020-10-05 15:45,6,8,344,15:44
2020-10-05 15:50,4,6,349,15:50
2020-10-05 15:55,7,7,351,15:54
2020-10-05 16:00,7,7,353,15:59
2020-10-05 16:05,6,9,355,16:04
2020-10-05 16:10,6,10,356,16:09
2020-10-05 16:15,4,12,358,16:14
2020-10-05 16:20,5,13,359,16:19
2020-10-05 16:25,8,15,360,16:24
2020-10-05 16:30,7,17,362,16:29
2020-10-05 16:35,6,17,365,16:34
2020-10-05 16:40,4,17,370,16:39
2020-10-05 16:45,3,14,372,16:44
2020-10-05 16:50,1,8,376,16:49
2020-10-05 16:55,3,7,377,16:54
2020-10-05 17:00,7,6,378,16:59
2020-10-05 17:05,9,6,378,17:04
2020-10-05 17:10,10,6,5258,17:09
2020-10-05 17:15,6,9,382,17:14
2020-10-05 17:20,6,13,385,17:19
2020-10-05 17:25,4,15,5264,17:24
2020-10-05 17:30,5,14,391,17:29
2020-10-05 17:35,8,12,393,17:34
2020-10-05 17:40,7,12,395,17:39
2020-10-05 17:45,4,11,400,17:44
2020-10-05 17:50,6,11,401,17:49
2020-10-05 17:55,2,11,405,17:54
2020-10-05 18:00,0,12,,17:59
