Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-11-16 08:05,0,2,,08:01
2020-11-16 08:10,0,2,,08:05
2020-11-16 08:15,0,2,,08:05
2020-11-16 08:20,0,2,,08:05
2020-11-16 08:25,7,2,5000,08:24
2020-11-16 08:30,7,2,5000,08:24
2020-11-16 08:35,7,2,5000,08:24
2020-11-16 08:40,11,2,5000,08:37
2020-11-16 08:45,13,2,5000,08:44
2020-11-16 08:50,13,2,5000,08:44
2020-11-16 08:55,13,2,5000,08:44
2020-11-16 09:00,13,2,5000,08:44
2020-11-16 09:05,19,2,5000,09:00
2020-11-16 09:10,19,2,5000,09:00
2020-11-16 09:15,19,2,5000,09:00
2020-11-16 09:20,19,2,5000,09:00
2020-11-16 09:25,25,2,5000,09:20
2020-11-16 09:30,25,2,5000,09:20
2020-11-16 09:35,25,2,5000,09:20
2020-11-16 09:40,25,2,5000,09:20
2020-11-16 09:45,33,2,5000,09:44
2020-11-16 09:50,33,2,5000,09:44
2020-11-16 09:55,35,2,5000,09:50
2020-11-16 10:00,35,2,5000,09:50
2020-11-16 10:05,39,2,5000,10:02
2020-11-16 10:10,39,2,5000,10:02
2020-11-16 10:15,39,2,5000,10:02
2020-11-16 10:20,45,2,5000,10:18
2020-11-16 10:25,45,2,5000,10:18
2020-11-16 10:30,45,2,5000,10:18
2020-11-16 10:35,49,2,5000,10:30
2020-11-16 10:40,49,2,5000,10:30
2020-11-16 10:45,49,2,5000,10:30
2020-11-16 10:50,55,2,5000,10:48
2020-11-16 10:55,55,2,5000,10:48
2020-11-16 11:00,55,2,5000,10:48
2020-11-16 11:05,59,2,5000,11:01
2020-11-16 11:10,61,2,5000,11:07
2020-11-16 11:15,61,2,5000,11:07
2020-11-16 11:20,64,2,5000,11:16
2020-11-16 11:25,64,2,5000,11:16
2020-11-16 11:30,68,2,5000,11:27
2020-11-16 11:35,69,2,5000,11:30
2020-11-16 11:40,69,2,5000,11:30
2020-11-16 11:45,69,2,5000,11:30
2020-11-16 11:50,69,2,5000,11:30
2020-11-16 11:55,69,2,5000,11:30
2020-11-16 12:00,78,2,5000,11:57
2020-11-16 12:05,78,2,5000,11:57
2020-11-16 12:10,78,2,5000,11:57
2020-11-16 12:15,78,2,5000,11:57
2020-11-16 12:20,78,2,5000,11:57
2020-11-16 12:25,87,2,5000,12:24
2020-11-16 12:30,87,2,5000,12:24
2020-11-16 12:35,87,2,5000,12:24
2020-11-16 12:40,92,2,5000,12:39
2020-11-16 12:45,92,2,5000,12:40
2020-11-16 12:50,92,2,5000,12:40
2020-11-16 12:55,92,2,5000,12:40
2020-11-16 13:00,97,2,5000,12:55
2020-11-16 13:05,97,2,5000,12:55
2020-11-16 13:10,101,2,5000,13:08
2020-11-16 13:15,103,2,5000,13:14
2020-11-16 13:20,104,2,5000,13:17
2020-11-16 13:25,104,2,5000,13:17
2020-11-16 13:30,107,2,5000,13:26
2020-11-16 13:35,107,2,5000,13:26
2020-11-16 13:40,112,2,5000,13:39
2020-11-16 13:45,112,2,5000,13:39
2020-11-16 13:50,114,2,5000,13:46
2020-11-16 13:55,117,2,5000,13:54
2020-11-16 14:00,117,2,5000,13:55
2020-11-16 14:05,120,2,5000,14:04
2020-11-16 14:10,120,2,5000,14:04
2020-11-16 14:15,120,2,5000,14:04
2020-11-16 14:20,124,2,5000,14:18
2020-11-16 14:25,127,2,5000,14:24
2020-11-16 14:30,128,2,5000,14:28
2020-11-16 14:35,130,2,5000,14:33
2020-11-16 14:40,131,2,5000,14:37
2020-11-16 14:45,131,2,5000,14:37
2020-11-16 14:50,134,2,5000,14:47
2020-11-16 14:55,136,2,5000,14:51
2020-11-16 15:00,136,2,5000,14:51
2020-11-16 15:05,136,2,5000,14:51
2020-11-16 15:10,140,2,5000,15:05
2020-11-16 15:15,140,2,5000,15:05
2020-11-16 15:20,140,2,5000,15:05
2020-11-16 15:25,140,2,5000,15:05
2020-11-16 15:30,147,2,5000,15:25
2020-11-16 15:35,149,2,5000,15:32
2020-11-16 15:40,149,2,5000,15:32
2020-11-16 15:45,149,2,5000,15:32
2020-11-16 15:50,149,2,5000,15:32
2020-11-16 15:55,157,2,5000,15:54
2020-11-16 16:00,157,2,5000,15:54
2020-11-16 16:05,157,2,5000,15:54
2020-11-16 16:10,157,2,5000,15:54
2020-11-16 16:15,157,2,5000,15:54
2020-11-16 16:20,164,2,5000,16:16
2020-11-16 16:25,164,2,5000,16:16
2020-11-16 16:30,164,2,5000,16:16
2020-11-16 16:35,164,2,5000,16:16
2020-11-16 16:40,172,2,5000,16:39
2020-11-16 16:45,172,2,5000,16:41
2020-11-16 16:50,174,2,5000,16:46
2020-11-16 16:55,174,2,5000,16:46
2020-11-16 17:00,174,2,5000,16:46
2020-11-16 17:05,180,2,5000,17:04
2020-11-16 17:10,180,2,5000,17:04
2020-11-16 17:15,180,2,5000,17:04
2020-11-16 17:20,180,2,5000,17:04
2020-11-16 17:25,180,2,5000,17:04
2020-11-16 17:30,188,2,5000,17:28
2020-11-16 17:35,188,2,5000,17:28
2020-11-16 17:40,188,2,5000,17:37
2020-11-16 17:45,188,2,5000,17:37
2020-11-16 17:50,188,2,5000,17:37
2020-11-16 17:55,188,2,5000,17:37
2020-11-16 18:00,188,2,5000,17:58
