Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-08-10 08:05,1,2,103,08:04
2020-08-10 08:10,5,2,103,08:09
2020-08-10 08:15,5,2,103,08:14
2020-08-10 08:20,7,4,104,08:19
2020-08-10 08:25,7,4,104,08:24
2020-08-10 08:30,5,11,107,08:29
2020-08-10 08:35,5,12,5009,08:34
2020-08-10 08:40,3,15,5011,08:39
2020-08-10 08:45,3,15,110,08:44
2020-08-10 08:50,5,17,5014,08:49
2020-08-10 08:55,5,16,113,08:54
2020-08-10 09:00,5,14,114,08:59
2020-08-10 09:05,8,13,5020,09:04
2020-08-10 09:10,6,11,116,09:09
2020-08-10 09:15,6,11,118,09:14
2020-08-10 09:20,4,14,122,09:19
2020-08-10 09:25,4,13,124,09:24
2020-08-10 09:30,4,12,125,09:29
2020-08-10 09:35,6,12,125,09:34
2020-08-10 09:40,5,12,129,09:39
2020-08-10 09:45,4,12,131,09:44
2020-08-10 09:50,3,12,134,09:49
2020-08-10 09:55,4,12,136,09:54
2020-08-10 10:00,5,10,138,10:00
2020-08-10 10:05,1,8,143,10:04
2020-08-10 10:10,1,7,146,10:09
2020-08-10 10:15,2,7,147,10:14
2020-08-10 10:20,0,7,,10:19
2020-08-10 10:25,0,6,,10:24
2020-08-10 10:30,1,4,156,10:29
2020-08-10 10:35,5,2,5056,10:34
2020-08-10 10:40,3,2,162,10:40
2020-08-10 10:45,3,4,164,10:44
2020-08-10 10:50,4,5,166,10:49
2020-08-10 10:55,5,6,167,10:54
2020-08-10 11:00,8,8,169,10:59
2020-08-10 11:05,7,9,170,11:04
2020-08-10 11:10,10,10,5079,11:09
2020-08-10 11:15,7,12,173,11:14
2020-08-10 11:20,8,15,176,11:19
2020-08-10 11:25,6,17,178,11:24
2020-08-10 11:30,6,18,180,11:30
2020-08-10 11:35,6,19,181,11:34
2020-08-10 11:40,5,20,184,11:39
2020-08-10 11:45,6,16,187,11:44
2020-08-10 11:50,6,14,5098,11:49
2020-08-10 11:55,4,10,192,11:54
2020-08-10 12:00,4,11,194,11:59
2020-08-10 12:05,5,10,5103,12:04
2020-08-10 12:10,5,9,5105,12:09
2020-08-10 12:15,3,9,198,12:14
2020-08-10 12:20,1,8,203,12:19
2020-08-10 12:25,1,4,206,12:24
2020-08-10 12:30,1,3,210,12:29
2020-08-10 12:35,0,2,,12:34
2020-08-10 12:40,4,2,5115,12:39
2020-08-10 12:45,2,3,220,12:44
2020-08-10 12:50,1,4,224,12:49
2020-08-10 12:55,2,4,227,12:54
2020-08-10 13:00,2,4,231,12:59
2020-08-10 13:05,2,4,233,13:04
2020-08-10 13:10,2,5,235,13:09
2020-08-10 13:15,1,5,239,13:14
2020-08-10 13:20,3,5,241,13:18
2020-08-10 13:25,4,5,243,13:24
2020-08-10 13:30,3,6,246,13:29
2020-08-10 13:35,3,6,246,13:34
2020-08-10 13:40,4,8,249,13:39
2020-08-10 13:45,2,9,251,13:44
2020-08-10 13:50,6,10,252,13:49
2020-08-10 13:55,3,9,255,13:54
2020-08-10 14:00,5,7,258,13:59
2020-08-10 14:05,5,6,259,14:04
2020-08-10 14:10,4,7,262,14:09
2020-08-10 14:15,3,9,265,14:14
2020-08-10 14:20,3,10,267,14:19
2020-08-10 14:25,1,9,271,14:25
2020-08-10 14:30,1,4,276,14:29
2020-08-10 14:35,3,3,278,14:34
2020-08-10 14:40,3,2,280,14:39
2020-08-10 14:45,3,3,285,14:44
2020-08-10 14:50,4,3,288,14:49
2020-08-10 14:55,3,3,5169,14:54
2020-08-10 15:00,5,4,293,14:59
2020-08-10 15:05,3,5,5175,15:04
2020-08-10 15:10,5,4,5178,15:09
2020-08-10 15:15,0,4,,15:14
2020-08-10 15:20,4,3,5184,15:20
2020-08-10 15:25,3,3,310,15:24
2020-08-10 15:30,1,3,315,15:29
2020-08-10 15:35,5,4,5194,15:34
2020-08-10 15:40,5,3,5197,15:39
2020-08-10 15:45,1,5,322,15:44
2020-08-10 15:50,4,5,326,15:49
2020-08-10 15:55,8,4,5206,15:54
2020-08-10 16:00,6,4,327,15:59
2020-08-10 16:05,8,5,5211,16:04
2020-08-10 16:10,7,10,333,16:09
2020-08-10 16:15,6,10,335,16:14
2020-08-10 16:20,5,9,338,16:19
2020-08-10 16:25,8,11,342,16:24
2020-08-10 16:30,6,10,346,16:29
2020-08-10 16:35,7,7,348,16:34
2020-08-10 16:40,6,9,5223,16:39
2020-08-10 16:45,3,8,356,16:44
2020-08-10 16:50,4,7,5226,16:49
2020-08-10 16:55,0,6,,16:54
2020-08-10 17:00,3,4,364,16:59
2020-08-10 17:05,3,3,367,17:04
2020-08-10 17:10,1,3,5233,17:09
2020-08-10 17:15,1,4,375,17:14
2020-08-10 17:20,2,4,379,17:19
2020-08-10 17:25,2,3,383,17:24
2020-08-10 17:30,0,3,,17:29
2020-08-10 17:35,0,3,,17:34
2020-08-10 17:40,0,3,,17:39
2020-08-10 17:45,0,3,,17:44
2020-08-10 17:50,0,3,,17:49
2020-08-10 17:55,0,3,,17:54
2020-08-10 18:00,0,3,,17:59
