Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2019-10-15 08:05,4,7,105,07:59
2019-10-15 08:10,7,5,109,08:05
2019-10-15 08:15,6,2,112,08:09
2019-10-15 08:20,6,2,53,08:15
2019-10-15 08:25,5,4,116,08:19
2019-10-15 08:30,3,7,120,08:24
2019-10-15 08:35,4,7,52,08:27
2019-10-15 08:40,0,6,,08:34
2019-10-15 08:45,2,4,127,08:39
2019-10-15 08:50,3,4,127,08:44
2019-10-15 08:55,2,4,129,08:48
2019-10-15 09:00,7,3,82,08:55
2019-10-15 09:05,6,3,133,08:57
2019-10-15 09:10,7,3,17,09:05
2019-10-15 09:15,6,3,134,09:08
2019-10-15 09:20,9,4,84,09:14
2019-10-15 09:25,13,5,86,09:20
2019-10-15 09:30,12,5,135,09:24
2019-10-15 09:35,14,11,137,09:29
2019-10-15 09:40,15,13,138,09:32
2019-10-15 09:45,16,16,90,09:36
2019-10-15 09:50,15,22,138,09:43
2019-10-15 09:55,14,20,146,09:49
2019-10-15 10:00,15,19,147,09:54
2019-10-15 10:05,14,21,152,09:59
2019-10-15 10:10,15,19,152,10:03
2019-10-15 10:15,10,21,157,10:09
2019-10-15 10:20,15,19,157,10:14
2019-10-15 10:25,16,19,159,10:19
2019-10-15 10:30,17,19,162,10:23
2019-10-15 10:35,14,21,165,10:28
2019-10-15 10:40,14,19,135,10:35
2019-10-15 10:45,17,19,135,10:36
2019-10-15 10:50,20,18,172,10:44
2019-10-15 10:55,18,19,71,10:50
2019-10-15 11:00,15,17,181,10:54
2019-10-15 11:05,15,17,183,10:59
2019-10-15 11:10,13,14,187,11:04
2019-10-15 11:15,16,13,187,11:07
2019-10-15 11:20,12,18,192,11:14
2019-10-15 11:25,11,20,199,11:19
2019-10-15 11:30,9,14,106,11:25
2019-10-15 11:35,10,11,205,11:29
2019-10-15 11:40,11,9,209,11:34
2019-10-15 11:45,10,9,214,11:39
2019-10-15 11:50,9,8,216,11:43
2019-10-15 11:55,9,7,219,11:49
2019-10-15 12:00,14,7,220,11:52
2019-10-15 12:05,17,10,224,11:59
2019-10-15 12:10,16,11,226,12:04
2019-10-15 12:15,16,13,229,12:06
2019-10-15 12:20,16,13,232,12:13
2019-10-15 12:25,21,14,234,12:19
2019-10-15 12:30,22,16,238,12:24
2019-10-15 12:35,23,20,241,12:29
2019-10-15 12:40,20,21,245,12:33
2019-10-15 12:45,20,19,246,12:39
2019-10-15 12:50,22,18,248,12:44
2019-10-15 12:55,20,21,252,12:49
2019-10-15 13:00,23,22,253,12:53
2019-10-15 13:05,23,27,258,12:59
2019-10-15 13:10,24,27,22,13:02
2019-10-15 13:15,25,25,259,13:07
2019-10-15 13:20,25,24,261,13:14
2019-10-15 13:25,25,26,263,13:19
2019-10-15 13:30,26,28,161,13:22
2019-10-15 13:35,29,28,15,13:30
2019-10-15 13:40,24,31,268,13:34
2019-10-15 13:45,25,36,132,13:36
2019-10-15 13:50,21,39,274,13:44
2019-10-15 13:55,21,35,276,13:48
2019-10-15 14:00,17,40,280,13:53
2019-10-15 14:05,16,36,282,13:57
2019-10-15 14:10,20,36,283,14:04
2019-10-15 14:15,18,37,286,14:09
2019-10-15 14:20,18,37,24,14:12
2019-10-15 14:25,17,37,150,14:18
2019-10-15 14:30,20,34,148,14:22
2019-10-15 14:35,20,24,295,14:29
2019-10-15 14:40,17,25,301,14:34
2019-10-15 14:45,16,22,303,14:38
2019-10-15 14:50,14,15,307,14:44
2019-10-15 14:55,13,15,158,14:48
2019-10-15 15:00,14,13,310,14:53
2019-10-15 15:05,11,18,316,14:59
2019-10-15 15:10,12,17,320,15:05
2019-10-15 15:15,12,13,322,15:09
2019-10-15 15:20,14,12,324,15:14
2019-10-15 15:25,15,12,124,15:20
2019-10-15 15:30,8,13,333,15:24
2019-10-15 15:35,7,13,336,15:29
2019-10-15 15:40,2,9,341,15:34
2019-10-15 15:45,1,5,343,15:39
2019-10-15 15:50,1,3,348,15:44
2019-10-15 15:55,5,3,349,15:48
2019-10-15 16:00,5,3,351,15:53
2019-10-15 16:05,10,3,156,16:00
2019-10-15 16:10,10,4,352,16:04
2019-10-15 16:15,12,6,353,16:09
2019-10-15 16:20,14,9,143,16:15
2019-10-15 16:25,13,8,355,16:16
2019-10-15 16:30,16,15,359,16:24
2019-10-15 16:35,16,15,361,16:27
2019-10-15 16:40,11,17,146,16:35
2019-10-15 16:45,10,14,369,16:38
2019-10-15 16:50,12,12,370,16:44
2019-10-15 16:55,10,12,372,16:49
2019-10-15 17:00,11,12,67,16:50
2019-10-15 17:05,12,21,3,17:00
2019-10-15 17:10,11,18,4,17:05
2019-10-15 17:15,11,14,381,17:08
2019-10-15 17:20,7,14,387,17:13
2019-10-15 17:25,7,13,389,17:19
2019-10-15 17:30,7,12,392,17:24
2019-10-15 17:35,6,11,395,17:29
2019-10-15 17:45,4,9,398,17:38
2019-10-15 17:50,2,9,401,17:44
2019-10-15 17:55,1,8,404,17:48
2019-10-15 17:55,1,8,404,17:48
2019-10-15 18:00,1,8,404,17:48
