Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2020-04-23 08:05,1,2,18,08:05
2020-04-23 08:10,1,2,28,08:10
2020-04-23 08:15,2,2,106,08:14
2020-04-23 08:20,4,3,107,08:19
2020-04-23 08:25,2,5,111,08:25
2020-04-23 08:30,3,5,20,08:30
2020-04-23 08:35,2,6,114,08:35
2020-04-23 08:40,0,6,,08:39
2020-04-23 08:45,0,5,,08:42
2020-04-23 08:50,1,5,65,08:50
2020-04-23 08:55,1,4,66,08:55
2020-04-23 09:00,1,4,66,08:57
2020-04-23 09:05,3,3,33,09:05
2020-04-23 09:10,3,4,42,09:10
2020-04-23 09:15,3,4,42,09:14
2020-04-23 09:20,3,5,141,09:20
2020-04-23 09:25,3,5,55,09:25
2020-04-23 09:30,1,9,22,09:30
2020-04-23 09:35,2,9,22,09:35
2020-04-23 09:40,2,10,23,09:40
2020-04-23 09:45,3,9,132,09:44
2020-04-23 09:50,3,8,35,09:46
2020-04-23 09:55,2,7,135,09:53
2020-04-23 10:00,3,5,2,10:00
2020-04-23 10:05,1,6,138,10:04
2020-04-23 10:10,1,6,140,10:09
2020-04-23 10:15,0,4,,10:11
2020-04-23 10:20,2,4,143,10:20
2020-04-23 10:25,2,4,143,10:22
2020-04-23 10:30,0,4,,10:28
2020-04-23 10:35,1,5,80,10:35
2020-04-23 10:40,0,4,,10:37
2020-04-23 10:45,1,3,72,10:45
2020-04-23 10:50,2,3,72,10:50
2020-04-23 10:55,2,3,152,10:55
2020-04-23 11:00,1,3,154,10:59
2020-04-23 11:05,1,4,156,11:04
2020-04-23 11:10,1,4,156,11:09
2020-04-23 11:15,1,5,39,11:10
2020-04-23 11:20,1,5,47,11:20
2020-04-23 11:25,3,5,47,11:23
2020-04-23 11:30,2,5,115,11:25
2020-04-23 11:35,2,6,163,11:35
2020-04-23 11:40,0,6,,11:39
2020-04-23 11:45,1,6,73,11:45
2020-04-23 11:50,1,5,91,11:50
2020-04-23 11:55,2,5,91,11:53
2020-04-23 12:00,3,4,46,12:00
2020-04-23 12:05,1,4,83,12:05
2020-04-23 12:10,1,4,92,12:10
2020-04-23 12:15,1,4,9,12:15
2020-04-23 12:20,0,3,,12:19
2020-04-23 12:25,0,3,,12:21
2020-04-23 12:30,0,2,,12:27
2020-04-23 12:35,1,2,187,12:33
2020-04-23 12:40,1,2,96,12:40
2020-04-23 12:45,1,2,97,12:45
2020-04-23 12:50,0,2,,12:46
2020-04-23 12:55,2,2,194,12:55
2020-04-23 13:00,3,3,58,13:00
2020-04-23 13:05,3,3,82,13:05
2020-04-23 13:10,2,3,196,13:09
2020-04-23 13:15,0,6,,13:13
2020-04-23 13:20,2,5,200,13:20
2020-04-23 13:25,2,5,200,13:24
2020-04-23 13:30,0,6,,13:26
2020-04-23 13:35,0,6,,13:33
2020-04-23 13:40,1,6,206,13:37
2020-04-23 13:45,3,4,105,13:45
2020-04-23 13:50,1,3,208,13:49
2020-04-23 13:55,3,4,68,13:55
2020-04-23 14:00,3,3,146,13:58
2020-04-23 14:05,2,4,208,14:04
2020-04-23 14:10,3,4,49,14:06
2020-04-23 14:15,2,4,57,14:12
2020-04-23 14:20,0,4,,14:18
2020-04-23 14:25,1,3,217,14:24
2020-04-23 14:30,0,3,,14:25
2020-04-23 14:35,0,2,,14:33
2020-04-23 14:40,2,2,154,14:40
2020-04-23 14:45,0,2,,14:42
2020-04-23 14:50,1,2,118,14:49
2020-04-23 14:55,1,3,119,14:52
2020-04-23 15:00,1,3,157,14:59
2020-04-23 15:05,1,4,51,15:05
2020-04-23 15:10,0,4,,15:07
2020-04-23 15:15,0,4,,15:11
2020-04-23 15:20,0,4,,15:19
2020-04-23 15:25,1,4,158,15:21
2020-04-23 15:30,0,3,,15:28
2020-04-23 15:35,1,3,159,15:32
2020-04-23 15:40,1,3,143,15:40
2020-04-23 15:45,1,3,143,15:40
2020-04-23 15:50,0,3,,15:48
2020-04-23 15:55,1,3,86,15:55
2020-04-23 16:00,0,3,,15:57
2020-04-23 16:05,2,3,139,16:00
2020-04-23 16:10,1,3,108,16:10
2020-04-23 16:15,0,3,,16:11
2020-04-23 16:20,0,2,,16:17
2020-04-23 16:25,0,2,,16:20
2020-04-23 16:30,3,2,52,16:30
2020-04-23 16:35,0,2,,16:34
2020-04-23 16:40,0,2,,16:40
2020-04-23 16:45,0,2,,16:40
2020-04-23 16:50,0,2,,16:46
2020-04-23 16:55,0,3,,16:53
2020-04-23 17:00,1,3,147,17:00
2020-04-23 17:05,1,3,149,17:04
2020-04-23 17:10,1,3,145,17:08
2020-04-23 17:15,0,3,,17:14
2020-04-23 17:20,0,3,,17:16
2020-04-23 17:25,0,2,,17:25
2020-04-23 17:30,0,2,,17:25
2020-04-23 17:35,1,3,19,17:35
2020-04-23 17:40,0,2,,17:38
2020-04-23 17:45,1,2,140,17:44
2020-04-23 17:50,2,2,279,17:48
2020-04-23 17:55,0,2,,17:54
2020-04-23 18:00,0,2,,17:54
