Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2021-06-10 00:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 00:15,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 00:30,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 00:45,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 01:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 01:15,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 01:30,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 01:45,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 02:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 02:15,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 02:30,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 02:45,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 03:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 03:15,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 03:30,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 03:45,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 04:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 04:15,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 04:30,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 04:45,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
2021-06-10 05:00,649,0,357,0,0,0,672,0,150,0,236,216,433,266,463,180
