Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2020-11-02 00:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 00:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 00:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 00:45,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 01:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 01:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 01:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 01:45,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 02:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 02:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 02:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 02:45,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 03:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 03:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 03:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 03:45,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 04:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 04:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 04:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 04:45,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 05:00,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 05:15,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
2020-11-02 05:30,649,0,349,0,0,0,750,0,0,158,0,222,435,305,587,172
