"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)"
"2025-02-26 00:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,311
"2025-02-26 00:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,312
"2025-02-26 00:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,312
"2025-02-26 00:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,312
"2025-02-26 01:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,312
"2025-02-26 01:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,312
"2025-02-26 01:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 01:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 02:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 02:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 02:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 02:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 03:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 03:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 03:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 03:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 04:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 04:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 04:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 04:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 05:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 05:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,312
"2025-02-26 05:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,311
"2025-02-26 05:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,306
"2025-02-26 06:00","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,548,302
"2025-02-26 06:05","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,301
"2025-02-26 06:10","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,300
"2025-02-26 06:15","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,296
"2025-02-26 06:20","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,547,293
"2025-02-26 06:25","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,546,289
"2025-02-26 06:30","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,546,286
"2025-02-26 06:35","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,544,283
"2025-02-26 06:40","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,544,273
"2025-02-26 06:45","ges",650,"ges",350,50,150,350,683,66,162,172,224,152,329,184,544,267
"2025-02-26 06:50","ges","kei","ges",350,50,150,350,675,66,162,172,"bes",147,"kei",175,542,264
"2025-02-26 06:55","ges",640,177,340,50,150,350,674,66,162,172,225,146,329,175,538,263
"2025-02-26 07:00","ges",638,177,338,50,150,350,669,66,162,172,224,145,326,175,537,259
"2025-02-26 07:05","ges",637,175,337,50,150,350,666,66,162,172,225,144,327,173,537,257
"2025-02-26 07:10","ges",635,175,337,50,150,350,665,66,162,172,225,145,322,171,532,253
"2025-02-26 07:15","ges",633,175,334,50,150,350,664,66,162,170,223,146,319,172,529,248
"2025-02-26 07:20","ges",633,175,329,50,150,350,662,66,162,168,221,144,321,171,524,244
"2025-02-26 07:25","ges",629,174,326,50,150,350,660,66,162,168,221,143,322,171,520,242
"2025-02-26 07:30","ges",622,172,324,50,150,350,653,66,162,168,223,141,321,169,517,239
"2025-02-26 07:35","ges",621,169,318,50,150,350,643,66,162,168,220,141,321,168,513,234
"2025-02-26 07:40","ges",619,168,319,50,150,350,643,66,162,165,216,138,322,168,509,229
"2025-02-26 07:45","ges",617,164,315,50,150,350,640,66,162,164,215,136,320,170,505,225
"2025-02-26 07:50","ges",614,162,314,50,150,350,639,66,161,164,214,137,317,170,503,224
"2025-02-26 07:55","ges",602,156,310,50,150,350,635,66,161,165,215,136,313,171,500,221
"2025-02-26 08:00","ges",599,154,306,50,150,350,631,66,161,164,215,136,313,172,496,217
"2025-02-26 08:05","ges",593,150,300,50,150,350,618,66,159,162,212,135,310,172,494,215
"2025-02-26 08:10","ges",586,150,296,50,150,350,614,66,155,159,212,134,314,174,491,215
"2025-02-26 08:15","ges",580,147,287,50,150,350,610,66,154,159,209,133,313,172,488,211
"2025-02-26 08:20","ges",571,146,279,50,150,350,612,66,154,157,208,132,315,173,482,208
"2025-02-26 08:25","ges",571,145,275,50,150,350,608,66,151,153,209,128,313,170,477,205
"2025-02-26 08:30","ges",562,140,268,50,150,350,604,66,150,152,208,132,310,171,473,197
"2025-02-26 08:35","ges",559,134,261,50,150,350,595,66,146,151,210,129,312,169,471,196
"2025-02-26 08:40","ges",554,135,257,50,150,350,593,66,142,151,211,123,310,171,463,197
"2025-02-26 08:45","ges",547,130,246,50,150,350,580,66,138,151,213,121,310,174,460,193
"2025-02-26 08:50","ges",536,122,233,50,150,350,575,66,133,150,204,119,308,175,459,190
"2025-02-26 08:55","ges",531,115,230,50,150,350,556,66,126,146,202,118,309,174,457,187
"2025-02-26 09:00","ges",522,108,221,50,150,350,542,66,115,145,195,112,307,166,454,184
"2025-02-26 09:05","ges",518,108,221,50,150,350,532,66,111,146,190,111,301,166,450,182
"2025-02-26 09:10","ges",498,103,205,50,150,350,519,66,107,144,180,109,291,166,445,180
"2025-02-26 09:15","ges",490,99,198,50,150,350,511,66,101,137,170,107,287,168,446,179
"2025-02-26 09:20","ges",484,92,188,50,150,350,499,66,94,135,166,101,282,166,449,178
"2025-02-26 09:25","ges",478,85,179,50,150,350,490,66,88,134,167,101,276,164,445,180
"2025-02-26 09:30","ges",470,84,175,50,150,350,480,66,69,131,162,102,270,161,444,178
"2025-02-26 09:35","ges",460,75,170,50,150,350,471,66,58,130,158,103,261,160,442,177
"2025-02-26 09:40","ges",456,68,159,50,150,350,468,66,51,126,150,100,255,162,443,175
"2025-02-26 09:45","ges",448,61,159,50,150,350,456,66,44,117,142,101,251,162,445,175
"2025-02-26 09:50","ges",437,57,136,50,150,350,442,66,39,111,135,97,239,159,443,177
"2025-02-26 09:55","ges",426,45,131,50,150,350,436,66,30,110,133,96,238,154,442,179
"2025-02-26 10:00","ges",422,34,124,50,150,350,432,66,24,108,128,94,233,152,440,181
"2025-02-26 10:05","ges",413,24,113,50,150,350,423,66,13,98,119,97,231,149,440,178
"2025-02-26 10:10","ges",405,11,102,50,150,350,411,66,6,93,108,95,227,147,437,179
"2025-02-26 10:15","ges",392,"bes",94,50,150,350,398,66,5,88,94,92,227,148,434,182
"2025-02-26 10:20","ges",390,"bes",77,50,150,350,393,66,5,84,89,93,226,146,433,184
"2025-02-26 10:25","ges",383,"bes",63,50,150,350,381,66,"bes",83,81,93,220,149,434,183
"2025-02-26 10:30","ges",372,"bes",52,50,150,350,363,66,5,73,72,92,222,148,434,182
"2025-02-26 10:35","ges",371,"bes",47,50,150,350,357,66,1,65,64,91,217,142,433,180
"2025-02-26 10:40","ges",366,"bes",41,50,150,350,355,66,"bes",63,63,93,217,140,431,181
"2025-02-26 10:45","ges",362,"bes",34,50,150,350,342,66,"bes",55,67,95,207,143,432,184
"2025-02-26 10:50","ges",359,1,21,50,150,350,336,66,"bes",49,67,96,201,144,431,186
"2025-02-26 10:55","ges",350,"bes",17,50,150,350,331,66,"bes",49,63,94,194,145,432,185
"2025-02-26 11:00","ges",339,"bes",12,50,150,350,321,66,"bes",44,61,92,193,141,431,184
"2025-02-26 11:05","ges",337,"bes",5,50,150,350,320,66,"bes",39,57,95,182,140,430,184
"2025-02-26 11:10","ges",339,"bes",4,50,150,350,315,66,"bes",38,59,92,182,138,429,183
"2025-02-26 11:15","ges",333,"bes",3,50,150,350,308,66,"bes",36,57,91,183,140,428,183
"2025-02-26 11:20","ges",330,"bes",2,50,150,350,307,66,"bes",31,52,91,187,144,432,181
"2025-02-26 11:25","ges",324,"bes",2,50,150,350,303,66,"bes",32,57,93,194,147,431,176
"2025-02-26 11:30","ges",313,"bes","bes",50,150,350,299,66,"bes",32,52,93,195,142,431,175
"2025-02-26 11:35","ges",309,"bes",4,50,150,350,289,66,1,32,47,93,188,143,432,174
"2025-02-26 11:40","ges",308,"bes","bes",50,150,350,283,66,1,28,40,94,182,140,430,170
"2025-02-26 11:45","ges",301,"bes",2,50,150,350,280,66,"bes",30,32,95,178,137,426,170
"2025-02-26 11:50","ges",302,"bes",1,50,150,350,280,66,2,27,29,97,181,136,426,169
"2025-02-26 11:55","ges",294,"bes","bes",50,150,350,282,66,"bes",27,30,99,175,134,422,173
"2025-02-26 12:00","ges",298,"bes",2,50,150,350,275,66,"bes",25,28,99,176,133,420,173
"2025-02-26 12:05","ges",293,"bes","bes",50,150,350,274,66,2,25,27,102,172,135,420,172
"2025-02-26 12:10","ges",285,1,3,50,150,350,275,66,"bes",20,26,103,175,137,421,174
"2025-02-26 12:15","ges",285,1,3,50,150,350,278,66,"bes",20,28,106,179,138,421,173
"2025-02-26 12:20","ges",291,"bes",2,50,150,350,277,66,1,19,34,106,179,137,422,170
"2025-02-26 12:25","ges",284,"bes",7,50,150,350,281,66,"bes",23,41,103,183,141,420,171
"2025-02-26 12:30","ges",285,"bes",1,50,150,350,275,66,1,29,41,101,180,142,424,172
"2025-02-26 12:35","ges",292,"bes",5,50,150,350,276,66,3,31,50,105,178,143,426,173
"2025-02-26 12:40","ges",291,"bes",12,50,150,350,271,66,1,36,49,105,181,146,427,172
"2025-02-26 12:45","ges",295,20,14,50,150,350,267,66,1,39,49,105,187,150,428,175
"2025-02-26 12:50","ges",293,18,16,50,150,350,279,66,1,41,53,108,188,151,429,177
"2025-02-26 12:55","ges",293,20,26,50,150,350,279,66,2,49,56,112,190,148,430,176
"2025-02-26 13:00","ges",286,15,29,50,150,350,281,66,"bes",50,65,109,191,148,428,177
"2025-02-26 13:05","ges",290,16,31,50,150,350,283,66,1,56,61,108,190,150,428,178
"2025-02-26 13:10","ges",307,21,34,50,150,350,286,66,2,55,68,106,189,148,430,182
"2025-02-26 13:15","ges",316,22,35,50,150,350,285,66,"bes",55,72,108,194,150,431,183
"2025-02-26 13:20","ges",317,23,44,50,150,350,289,66,"bes",58,73,106,202,150,430,184
"2025-02-26 13:25","ges",320,22,46,50,150,350,290,66,"bes",58,71,100,203,151,430,184
"2025-02-26 13:30","ges",325,22,51,50,150,350,299,66,"bes",64,74,98,205,143,431,187
"2025-02-26 13:35","ges",319,23,55,50,150,350,301,66,1,64,76,99,203,146,431,187
