"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)","(205)","(350)"
"2025-08-19 00:00","ges",659,"ges",335,"ges","ges","ges",688,"ges",162,163,232,180,362,210,577,212,204,313
"2025-08-19 00:15","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 00:30","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 00:45","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 01:00","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 01:15","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 01:30","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 01:45","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 02:00","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 02:15","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 02:30","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 02:45","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 03:00","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 03:15","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 03:30","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 03:45","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 04:00","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 04:15","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,163,232,179,361,210,578,212,204,313
"2025-08-19 04:30","ges",660,"ges",336,"ges","ges","ges",688,"ges",162,168,232,179,361,210,578,212,204,313
