Datum und Uhrzeit,,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-12-06 00:00,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 00:15,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 00:30,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 00:45,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 01:00,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 01:15,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 01:30,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 01:45,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 02:00,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 02:15,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 02:30,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 02:45,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 03:00,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 03:15,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 03:30,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 03:45,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 04:00,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
2022-12-06 04:15,0,667,0,356,0,0,0,671,0,150,161,256,122,348,222,573,325
