Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2020-06-18 00:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 00:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 00:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 00:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 01:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 01:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 01:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 01:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 02:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 02:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 02:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 02:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 03:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 03:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 03:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 03:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 04:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 04:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 04:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 04:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 05:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 05:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 05:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 05:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:05,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:10,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:15,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:20,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:25,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:30,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:35,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:40,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:45,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:50,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 06:55,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 07:00,657,0,352,0,0,0,701,0,150,158,257,198,428,277,590,220
2020-06-18 07:05,649,177,347,54,0,448,0,259,0,158,260,190,409,260,572,187
2020-06-18 07:10,645,184,347,55,0,447,0,258,0,159,258,190,405,257,569,180
2020-06-18 07:15,647,184,346,55,0,446,0,257,0,158,257,189,401,252,562,177
2020-06-18 07:20,641,184,344,55,0,445,0,257,0,158,257,189,397,249,558,174
2020-06-18 07:25,641,182,344,55,0,445,0,257,0,158,256,187,388,248,549,171
2020-06-18 07:30,637,182,342,55,0,445,1,257,0,157,256,187,383,247,547,169
2020-06-18 07:35,635,182,339,55,0,441,0,254,0,157,255,188,376,246,538,164
2020-06-18 07:40,630,181,338,55,0,440,0,253,150,157,254,187,374,247,529,158
2020-06-18 07:45,626,179,335,56,0,439,0,252,150,156,255,182,372,245,525,154
2020-06-18 07:50,622,177,334,56,0,438,644,252,150,155,254,183,369,247,520,148
2020-06-18 07:55,618,176,334,58,0,436,634,252,150,154,253,183,364,247,519,142
