"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt","Halle Münsterland P1"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)","(103)","(350)","(212)"
"2026-07-29 00:00","ges",666,"ges",354,"kei","kei","ges",669,"ges",160,170,247,142,360,200,481,372,"ges","ges",161
"2026-07-29 00:15","ges",666,"ges",353,"kei","kei","ges",669,"ges",160,170,247,141,361,200,497,372,"ges","ges",161
"2026-07-29 00:30","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,145,362,200,500,372,"ges","ges",163
"2026-07-29 00:45","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,146,362,200,500,372,"ges","ges",163
"2026-07-29 01:00","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,146,362,200,500,372,"ges","ges",163
"2026-07-29 01:15","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,146,362,200,500,372,"ges","ges",163
"2026-07-29 01:30","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,147,362,200,500,372,"ges","ges",163
"2026-07-29 01:45","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,200,500,372,"ges","ges",163
"2026-07-29 02:00","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,200,500,372,"ges","ges",163
"2026-07-29 02:15","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,200,500,372,"ges","ges",163
"2026-07-29 02:30","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 02:45","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 03:00","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 03:15","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 03:30","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 03:45","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 04:00","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,148,362,201,500,372,"ges","ges",163
"2026-07-29 04:15","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,147,362,201,500,372,"ges","ges",162
"2026-07-29 04:30","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,147,362,201,500,372,"ges","ges",163
"2026-07-29 04:45","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,145,362,201,500,372,"ges","ges",163
"2026-07-29 05:00","ges",667,"ges",353,"kei","kei","ges",669,"ges",160,170,248,144,362,201,500,372,"ges","ges",163
"2026-07-29 05:15","ges",666,"ges",352,"kei","kei","ges",668,"ges",160,170,248,144,362,201,500,372,"ges","ges",163
"2026-07-29 05:30","ges",666,"ges",352,"kei","kei","ges",668,"ges",160,170,248,142,362,201,500,372,"ges","ges",163
"2026-07-29 05:45","ges",666,"ges",351,"kei","kei","ges",668,"ges",160,170,249,138,362,201,500,372,92,289,163
"2026-07-29 06:00","ges",664,"ges",350,"kei","kei","ges",667,"ges",160,170,249,133,362,201,500,372,91,289,163
"2026-07-29 06:05","ges",664,"ges",350,"kei","kei","ges",667,"ges",160,170,249,132,362,200,500,372,91,288,163
"2026-07-29 06:10","ges",665,"ges",349,"kei","kei","ges",667,"ges",160,170,248,132,362,200,500,372,91,288,164
"2026-07-29 06:15","ges",663,"ges",347,"kei","kei","ges",667,"ges",160,170,248,129,362,199,500,372,91,288,164
"2026-07-29 06:20","ges",664,"ges",347,"kei","kei","ges",667,217,160,170,248,127,363,199,500,372,91,288,162
"2026-07-29 06:25","ges",663,"ges",346,"kei","kei","ges",663,214,160,170,247,127,362,199,500,372,91,288,162
"2026-07-29 06:30","ges",663,"ges",344,"kei","kei","ges",660,210,160,170,246,123,361,198,500,371,91,288,163
"2026-07-29 06:35","ges",661,"ges",344,"kei","kei","ges",659,208,160,170,246,122,359,197,500,368,90,288,162
"2026-07-29 06:40","ges",660,"ges",344,"kei","kei","ges",658,204,160,170,245,124,359,197,500,360,89,287,162
"2026-07-29 06:45","ges",660,"ges",342,"kei","kei","ges",657,201,160,170,245,124,359,197,500,357,89,289,161
"2026-07-29 06:50","ges",658,179,342,"kei","kei","ges",654,197,160,170,245,122,359,197,500,353,89,289,161
"2026-07-29 06:55","ges",658,179,343,"kei","kei",350,651,196,160,170,244,123,359,198,500,350,89,289,161
"2026-07-29 07:00","ges",656,179,344,"kei","kei",350,649,193,160,170,244,123,358,198,500,347,89,288,161
"2026-07-29 07:05","ges",654,179,343,"kei","kei",350,645,193,160,170,243,123,355,198,500,344,90,286,160
"2026-07-29 07:10","ges",650,178,342,"kei","kei",350,641,189,160,170,243,122,353,199,500,341,90,286,159
"2026-07-29 07:15","ges",648,177,341,"kei","kei",350,641,184,160,170,243,122,349,199,500,334,91,285,159
"2026-07-29 07:20","ges",642,173,339,"kei","kei",350,636,184,160,170,244,122,345,200,500,331,91,285,159
"2026-07-29 07:25","ges",641,172,340,"kei","kei",350,631,181,160,170,242,122,343,199,500,329,90,287,159
"2026-07-29 07:30","ges",636,171,334,"kei","kei",350,625,180,160,170,241,122,342,199,500,328,90,285,158
"2026-07-29 07:35","ges",634,170,333,"kei","kei",350,623,180,160,170,241,121,339,201,500,328,91,284,160
"2026-07-29 07:40","ges",631,168,330,"kei","kei",350,622,179,160,170,239,121,337,201,500,329,91,283,163
"2026-07-29 07:45","ges",623,168,324,"kei","kei",350,614,176,160,170,237,119,335,199,500,323,91,280,163
"2026-07-29 07:50","ges",620,163,317,"kei","kei",350,612,175,160,170,235,118,335,201,500,324,88,281,163
"2026-07-29 07:55","ges",617,162,315,"kei","kei",350,605,171,160,170,232,119,334,200,500,324,87,279,162
"2026-07-29 08:00","ges",615,163,314,"kei","kei",350,599,169,158,170,230,120,332,200,497,323,87,278,161
"2026-07-29 08:05","ges",609,158,312,"kei","kei",350,593,165,158,170,230,117,328,197,496,322,86,277,161
