"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt","Halle Münsterland P1"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(410)","(320)","(590)","(372)","(103)","(350)","(212)"
"2026-08-06 00:00","ges",657,"ges",354,"kei","kei","ges",682,"ges",154,170,247,113,114,218,500,372,"ges","ges",176
"2026-08-06 00:15","ges",657,"ges",355,"kei","kei","ges",682,"ges",154,170,247,114,115,218,500,372,"ges","ges",177
"2026-08-06 00:30","ges",658,"ges",356,"kei","kei","ges",684,"ges",154,170,248,115,116,218,500,372,"ges","ges",177
"2026-08-06 00:45","ges",657,"ges",356,"kei","kei","ges",684,"ges",154,170,248,116,116,218,500,372,"ges","ges",177
"2026-08-06 01:00","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,249,116,116,218,500,372,"ges","ges",177
"2026-08-06 01:15","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,249,117,116,218,500,372,"ges","ges",177
"2026-08-06 01:30","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,250,117,116,218,500,372,"ges","ges",177
"2026-08-06 01:45","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,250,117,116,218,500,372,"ges","ges",177
"2026-08-06 02:00","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,250,117,116,218,500,372,"ges","ges",177
"2026-08-06 02:15","ges",657,"ges",357,"kei","kei","ges",684,"ges",154,170,250,117,116,218,500,372,"ges","ges",177
"2026-08-06 02:30","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,117,117,218,500,372,"ges","ges",177
"2026-08-06 02:45","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,117,117,218,500,372,"ges","ges",177
"2026-08-06 03:00","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,116,117,218,500,372,"ges","ges",177
"2026-08-06 03:15","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,116,117,218,500,372,"ges","ges",177
"2026-08-06 03:30","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,116,117,218,500,372,"ges","ges",177
"2026-08-06 03:45","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,115,117,218,500,372,"ges","ges",177
"2026-08-06 04:00","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,115,117,218,500,372,"ges","ges",177
"2026-08-06 04:15","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,115,117,218,500,372,"ges","ges",177
"2026-08-06 04:30","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,124,117,219,500,372,"ges","ges",177
"2026-08-06 04:45","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,124,117,219,500,372,"ges","ges",177
"2026-08-06 05:00","ges",657,"ges",358,"kei","kei","ges",684,"ges",154,170,250,124,117,218,500,372,"ges","ges",177
"2026-08-06 05:15","ges",657,"ges",357,"kei","kei","ges",683,"ges",154,170,250,123,117,218,500,372,"ges","ges",177
"2026-08-06 05:30","ges",656,"ges",357,"kei","kei","ges",684,"ges",154,170,250,121,117,218,500,372,"ges","ges",177
"2026-08-06 05:45","ges",656,"ges",357,"kei","kei","ges",684,"ges",154,170,250,118,118,218,500,372,103,291,177
"2026-08-06 06:00","ges",655,"ges",355,"kei","kei","ges",683,"ges",154,170,249,118,117,217,500,372,102,289,176
"2026-08-06 06:05","ges",654,"ges",355,"kei","kei","ges",683,"ges",154,170,249,117,115,216,500,372,102,289,177
"2026-08-06 06:10","ges",654,"ges",354,"kei","kei","ges",683,"ges",154,170,249,117,115,215,500,372,101,289,177
"2026-08-06 06:15","ges",654,"ges",352,"kei","kei","ges",683,"ges",154,170,249,117,115,214,500,372,101,287,176
"2026-08-06 06:20","ges",654,171,351,"kei","kei","ges",683,"ges",154,170,249,117,115,214,500,372,101,287,175
"2026-08-06 06:25","ges",654,171,350,"kei","kei","ges",682,"ges",154,170,248,116,115,213,500,372,101,286,176
"2026-08-06 06:30","ges",655,189,350,"kei","kei","ges",679,"ges",154,170,248,116,115,212,500,372,101,286,176
"2026-08-06 06:35","ges",655,189,350,"kei","kei","ges",676,"ges",154,170,248,118,112,212,500,372,100,286,176
"2026-08-06 06:40","ges",652,188,349,"kei","kei","ges",676,"ges",154,170,246,117,112,212,500,370,100,286,176
"2026-08-06 06:45","ges",652,187,348,"kei","kei","ges",674,"ges",154,170,246,115,112,212,500,366,100,287,176
