"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)","(204)","(350)"
"2025-07-24 00:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,229,179,361,220,587,206,202,308
"2025-07-24 00:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,588,206,202,308
"2025-07-24 00:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 00:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 01:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 01:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 01:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 01:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 02:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 02:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 02:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 02:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 03:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 03:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 03:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 03:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 04:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 04:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 04:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 04:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 05:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 05:15","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,206,202,308
"2025-07-24 05:30","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,204,202,308
"2025-07-24 05:45","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,203,202,308
"2025-07-24 06:00","ges",660,"ges",352,"ges","ges","ges",676,"ges",161,178,230,180,360,220,589,198,202,308
