"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt","Halle Münsterland P1"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(453)","(320)","(590)","(372)","(103)","(350)","(212)"
"2026-08-28 00:00","ges",625,"ges",345,"kei","kei","ges",719,"ges",160,170,260,107,127,203,500,372,"ges","ges",144
"2026-08-28 00:15","ges",621,"ges",345,"kei","kei","ges",719,"ges",160,170,261,107,127,203,500,372,"ges","ges",143
"2026-08-28 00:30","ges",622,"ges",346,"kei","kei","ges",719,"ges",160,170,261,110,127,203,500,372,"ges","ges",142
"2026-08-28 00:45","ges",622,"ges",346,"kei","kei","ges",719,"ges",160,170,261,111,127,203,500,372,"ges","ges",142
"2026-08-28 01:00","ges",623,"ges",347,"kei","kei","ges",719,"ges",160,170,261,111,127,203,500,372,"ges","ges",142
"2026-08-28 01:15","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,82,127,203,500,372,"ges","ges",142
"2026-08-28 01:30","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,82,127,203,500,372,"ges","ges",142
"2026-08-28 01:45","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,82,127,203,500,372,"ges","ges",142
"2026-08-28 02:00","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,84,127,203,500,372,"ges","ges",142
"2026-08-28 02:15","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,84,127,203,500,372,"ges","ges",142
"2026-08-28 02:30","ges",624,"ges",347,"kei","kei","ges",719,"ges",160,170,261,84,127,203,500,372,"ges","ges",142
"2026-08-28 02:45","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,84,127,203,500,372,"ges","ges",142
"2026-08-28 03:00","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 03:15","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,201,500,372,"ges","ges",142
"2026-08-28 03:30","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 03:45","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 04:00","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 04:15","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 04:30","ges",624,"ges",348,"kei","kei","ges",719,"ges",160,170,261,83,127,202,500,372,"ges","ges",142
"2026-08-28 04:45","ges",624,"ges",346,"kei","kei","ges",719,"ges",160,170,261,82,127,202,500,372,"ges","ges",142
"2026-08-28 05:00","ges",624,"ges",345,"kei","kei","ges",719,"ges",160,170,261,82,127,201,500,372,"ges","ges",142
"2026-08-28 05:15","ges",624,"ges",344,"kei","kei","ges",719,"ges",160,170,261,81,127,201,500,372,"ges","ges",142
"2026-08-28 05:30","ges",624,"ges",344,"kei","kei","ges",719,"ges",160,170,261,79,127,201,500,372,"ges","ges",142
"2026-08-28 05:45","ges",623,"ges",343,"kei","kei","ges",719,"ges",160,170,262,74,127,197,500,372,98,296,143
"2026-08-28 06:00","ges",622,"ges",342,"kei","kei","ges",719,"ges",160,170,262,68,127,197,500,372,96,295,143
"2026-08-28 06:05","ges",622,"ges",341,"kei","kei","ges",719,"ges",160,170,262,68,127,196,500,372,96,294,142
"2026-08-28 06:10","ges",622,"ges",341,"kei","kei","ges",719,"ges",160,170,262,68,127,196,500,372,95,294,142
"2026-08-28 06:15","ges",622,"ges",339,"kei","kei","ges",719,"ges",160,170,262,69,127,196,500,372,95,294,142
"2026-08-28 06:20","ges",622,"ges",339,"kei","kei","ges",719,"ges",160,170,262,67,127,196,500,372,95,294,142
"2026-08-28 06:25","ges",622,"ges",338,"kei","kei","ges",719,"ges",160,170,262,67,127,195,500,372,95,294,142
"2026-08-28 06:30","ges",623,"ges",338,"kei","kei","ges",719,"ges",160,170,262,67,127,195,500,372,95,294,142
"2026-08-28 06:35","ges",621,"ges",338,"kei","kei","ges",719,"ges",160,170,261,66,127,194,500,372,94,294,141
"2026-08-28 06:40","ges",621,"ges",336,"kei","kei","ges",719,"ges",160,170,258,66,127,195,500,372,93,294,141
"2026-08-28 06:45","ges",621,"ges",336,"kei","kei","ges",719,"ges",160,170,253,64,127,194,500,372,93,295,142
"2026-08-28 06:50","ges",621,"ges",335,"kei","kei","ges",719,"ges",160,170,106,63,127,194,500,372,93,293,142
"2026-08-28 06:55","ges",618,152,334,"kei","kei","ges",719,"ges",160,170,104,63,127,195,500,372,92,293,142
"2026-08-28 07:00","ges",619,150,332,"kei","kei","ges",719,"ges",160,170,104,62,127,196,500,372,92,293,142
"2026-08-28 07:05","ges",618,151,332,"kei","kei","ges",719,"ges",160,170,103,60,127,195,500,372,93,291,142
"2026-08-28 07:10","ges",616,152,332,"kei","kei","ges",719,"ges",160,170,103,60,127,193,500,369,92,291,142
"2026-08-28 07:15","ges",614,152,330,"kei","kei","ges",719,"ges",160,170,101,60,196,192,500,367,91,291,142
