"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)","(202)","(350)"
"2025-08-22 00:00","ges",653,"ges",342,"ges","ges","ges",678,239,165,187,214,232,369,222,579,214,198,309
"2025-08-22 00:15","ges",653,"ges",342,"ges","ges","ges",678,239,165,187,214,232,369,222,581,214,198,309
"2025-08-22 00:30","ges",653,"ges",342,"ges","ges","ges",678,239,165,187,214,232,369,222,581,214,198,309
"2025-08-22 00:45","ges",653,"ges",342,"ges","ges","ges",678,239,165,187,214,232,369,222,582,214,198,309
"2025-08-22 01:00","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,584,214,198,309
"2025-08-22 01:15","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,584,214,198,309
"2025-08-22 01:30","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,589,214,198,309
"2025-08-22 01:45","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 02:00","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 02:15","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 02:30","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 02:45","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 03:00","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 03:15","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 03:30","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 03:45","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 04:00","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 04:15","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 04:30","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 04:45","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 05:00","ges",653,"ges",342,"ges","ges","ges",678,241,165,187,214,232,369,222,590,214,198,309
"2025-08-22 05:15","ges",653,"ges",342,"ges","ges","ges",678,242,165,187,214,232,369,222,590,214,198,309
"2025-08-22 05:30","ges",653,"ges",342,"ges","ges","ges",678,242,165,187,214,232,369,222,590,213,198,309
