"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"Anzahl Parkplätze gesamt","(869)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)"
"2024-11-29 00:00","ges",672,"ges",345,"ges","ges","ges",666,"ges",164,176,219,149,306,192,531,317
"2024-11-29 00:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,531,317
"2024-11-29 00:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,534,319
"2024-11-29 00:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,534,319
"2024-11-29 01:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,536,319
"2024-11-29 01:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,538,319
"2024-11-29 01:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,541,319
"2024-11-29 01:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,541,319
"2024-11-29 02:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 02:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 02:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 02:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 03:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 03:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 03:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 03:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 04:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 04:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 04:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 04:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 05:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 05:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 05:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,319
"2024-11-29 05:45","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,318
"2024-11-29 06:00","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,315
"2024-11-29 06:05","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,542,316
"2024-11-29 06:10","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,540,317
"2024-11-29 06:15","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,540,315
"2024-11-29 06:20","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,538,314
"2024-11-29 06:25","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,537,310
"2024-11-29 06:30","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,537,304
"2024-11-29 06:35","ges",672,"ges",346,"ges","ges","ges",667,"ges",164,176,219,149,305,192,537,297
"2024-11-29 06:40","ges",668,"ges",345,"ges",150,"ges",666,"ges",164,176,220,118,313,187,534,294
"2024-11-29 06:45","ges",668,"ges",345,"ges",150,"ges",666,"ges",164,176,220,116,311,186,534,291
"2024-11-29 06:50","ges",667,"ges",344,"ges",150,"ges",666,"ges",164,176,212,114,306,184,533,291
"2024-11-29 06:55","ges",665,152,343,"ges",150,"ges",666,"ges",164,176,211,112,307,185,529,286
"2024-11-29 07:00","ges",641,152,344,"ges",150,245,664,"ges",164,176,209,111,303,184,524,286
"2024-11-29 07:05","ges",638,152,344,"ges",150,245,662,235,164,176,209,110,300,186,523,283
"2024-11-29 07:10","ges",638,165,342,63,150,245,662,235,164,176,209,108,301,187,521,281
"2024-11-29 07:15","ges",636,165,339,63,150,245,660,244,164,170,209,109,301,188,519,279
"2024-11-29 07:20","ges",635,165,337,63,150,245,659,243,164,169,209,108,302,192,519,278
"2024-11-29 07:25","ges",632,162,331,63,150,245,658,243,164,168,206,105,299,190,519,278
"2024-11-29 07:30","ges",631,161,333,63,150,245,655,243,164,166,205,105,300,190,519,276
"2024-11-29 07:35","ges",627,160,331,63,150,245,655,243,164,167,201,105,297,192,513,276
"2024-11-29 07:40","ges",623,158,327,63,150,245,651,243,164,166,198,102,293,192,510,273
"2024-11-29 07:45","ges",618,155,324,63,150,245,647,243,164,165,198,103,295,194,508,272
"2024-11-29 07:50","ges",612,152,322,63,150,245,646,242,164,164,197,102,291,188,505,272
"2024-11-29 07:55","ges",610,149,317,63,150,245,642,242,163,164,196,101,283,186,504,274
"2024-11-29 08:00","ges",605,147,309,63,150,245,641,241,161,162,194,103,278,182,503,273
"2024-11-29 08:05","ges",600,146,307,63,150,245,638,239,159,161,187,105,275,179,500,274
"2024-11-29 08:10","ges",594,140,303,63,150,245,633,239,159,159,183,106,272,179,499,273
"2024-11-29 08:15","ges",592,139,303,63,150,245,630,239,157,158,180,104,271,175,497,273
"2024-11-29 08:20","ges",588,136,300,63,150,245,618,238,156,156,174,102,269,175,494,273
"2024-11-29 08:25","ges",583,134,296,63,150,245,615,238,152,154,170,103,271,172,492,269
"2024-11-29 08:30","ges",580,134,289,63,150,245,609,235,145,154,167,104,269,174,491,269
"2024-11-29 08:35","ges",577,133,281,63,150,245,601,234,145,149,167,104,261,168,488,270
"2024-11-29 08:40","ges",570,133,278,63,150,245,587,231,141,145,164,104,260,164,487,272
"2024-11-29 08:45","ges",566,129,278,63,150,245,581,230,133,144,162,100,259,166,483,269
"2024-11-29 08:50","ges",562,125,273,63,150,245,573,231,128,143,167,102,251,161,478,268
"2024-11-29 08:55","ges",557,120,271,63,150,245,562,228,122,142,160,103,247,162,478,265
"2024-11-29 09:00","ges",551,117,259,63,150,245,556,224,117,139,150,100,243,162,478,263
"2024-11-29 09:05","ges",546,114,249,63,150,245,541,222,109,137,135,107,244,163,476,262
"2024-11-29 09:10","ges",543,112,243,63,150,245,530,219,103,136,131,108,239,164,475,262
"2024-11-29 09:15","ges",539,109,236,63,150,245,526,217,101,132,126,103,236,164,475,261
"2024-11-29 09:20","ges",537,101,224,63,150,245,513,212,97,129,126,103,232,166,475,259
"2024-11-29 09:25","ges",535,91,202,63,150,245,500,208,82,125,112,98,229,164,475,259
"2024-11-29 09:30","ges",527,84,190,63,150,245,486,206,74,124,109,101,224,163,476,259
"2024-11-29 09:35","ges",522,84,171,61,150,245,479,206,71,120,105,100,226,159,474,258
"2024-11-29 09:40","ges",508,80,158,62,150,245,468,205,64,116,96,98,224,155,475,261
"2024-11-29 09:45","ges",504,71,147,62,150,245,457,203,59,113,97,95,220,153,476,260
"2024-11-29 09:50","ges",491,64,129,54,150,245,434,200,52,101,80,94,223,154,474,259
"2024-11-29 09:55","ges",486,57,120,53,150,245,425,195,36,95,76,95,223,149,474,259
"2024-11-29 10:00","ges",473,41,95,48,150,245,408,188,21,93,67,95,219,146,471,259
"2024-11-29 10:05","ges",470,37,87,46,150,245,378,183,6,88,58,92,210,146,471,260
"2024-11-29 10:10","ges",462,25,78,46,150,245,359,180,"bes",84,48,94,207,146,471,259
"2024-11-29 10:15","ges",456,4,59,46,150,245,347,178,"bes",73,43,93,196,142,470,259
"2024-11-29 10:20","ges",447,"bes",49,46,150,245,329,176,"bes",68,34,93,190,138,470,259
"2024-11-29 10:25","ges",429,"bes",28,45,150,245,314,165,"bes",61,30,86,174,133,470,260
"2024-11-29 10:30","ges",420,"bes",20,43,150,245,296,158,1,52,17,86,163,131,466,258
"2024-11-29 10:35","ges",407,"bes",1,42,150,245,264,156,"bes",50,4,83,156,128,464,259
"2024-11-29 10:40","ges",390,1,1,42,150,245,256,153,1,43,5,82,147,128,465,257
"2024-11-29 10:45","ges",383,"bes","bes",42,150,245,240,151,"bes",37,"bes",80,126,128,462,256
"2024-11-29 10:50","ges",380,"bes","bes",42,150,245,223,147,"bes",31,1,81,116,126,461,256
"2024-11-29 10:55","ges",361,"bes","bes",42,150,245,199,144,"bes",9,2,80,109,124,463,256
"2024-11-29 11:00","ges",339,"bes",1,42,150,245,187,133,"bes",2,4,72,100,120,466,254
"2024-11-29 11:05","ges",336,"bes",1,42,150,245,167,132,1,2,2,68,90,121,464,254
"2024-11-29 11:10","ges",307,"bes",1,40,150,245,152,130,"bes",1,1,71,77,118,463,251
"2024-11-29 11:15","ges",299,"bes","bes",40,150,245,144,130,"bes","bes","bes",75,62,113,463,252
"2024-11-29 11:20","ges",293,1,"bes",41,150,245,132,127,"bes","bes","bes",75,60,113,460,253
"2024-11-29 11:25","ges",277,1,1,42,150,245,121,121,"bes","bes","bes",74,51,113,460,254
"2024-11-29 11:30","ges",262,"bes","bes",42,150,245,112,118,"bes","bes","bes",74,45,114,459,253
"2024-11-29 11:35","ges",244,"bes",1,42,150,245,96,116,"bes","bes","bes",75,38,112,458,249
"2024-11-29 11:40","ges",238,"bes",2,37,150,245,80,113,3,"bes","bes",74,32,110,459,246
"2024-11-29 11:45","ges",234,"bes","bes",34,150,245,67,110,"bes",2,1,70,27,107,458,245
"2024-11-29 11:50","ges",226,"bes",2,34,25,245,70,106,"bes","bes",1,71,18,103,459,248
"2024-11-29 11:55","ges",225,"bes",2,31,25,245,54,104,"bes",1,"bes",70,7,100,459,249
"2024-11-29 12:00","ges",210,"bes","bes",32,25,245,38,104,"bes",1,"bes",70,7,96,461,247
"2024-11-29 12:05","ges",202,"bes",1,32,25,245,35,96,"bes",1,1,69,3,89,461,250
"2024-11-29 12:10","ges",194,"bes",4,32,25,245,29,100,"bes","bes","bes",72,6,87,460,252
"2024-11-29 12:15","ges",199,"bes",2,33,25,245,9,98,"bes","bes","bes",70,7,91,461,257
"2024-11-29 12:20","ges",194,"bes",1,33,25,245,"bes",97,2,"bes","bes",69,11,91,464,257
"2024-11-29 12:25","ges",189,"bes",1,31,25,"bes","bes",99,"bes","bes",2,65,3,95,463,259
