Datum und Uhrzeit,,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-12-05 00:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 00:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 00:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 00:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 01:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 01:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 01:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 01:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 02:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 02:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 02:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 02:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 03:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 03:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 03:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 03:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 04:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 04:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 04:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 04:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 05:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 05:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 05:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 05:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:05,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:10,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:15,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:20,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:25,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:30,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:35,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:40,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:45,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:50,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 06:55,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 07:00,0,673,0,354,0,0,0,672,242,150,155,261,167,390,262,584,321
2022-12-05 07:05,0,660,181,345,51,131,430,648,239,0,155,259,120,404,254,584,285
2022-12-05 07:10,0,657,181,345,50,131,430,641,238,0,153,258,122,404,250,581,281
