Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2020-07-21 00:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 00:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 00:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 01:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 01:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 01:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 01:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 02:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 02:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 02:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 02:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 03:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 03:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 03:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 03:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 04:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 04:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 04:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 04:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 05:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 05:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 05:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 05:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:05,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:10,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:15,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:20,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:25,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:30,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:35,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:40,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:45,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:50,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 06:55,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 07:00,661,0,361,0,0,0,700,0,150,152,261,196,417,285,590,220
2020-07-21 07:05,650,192,339,0,396,219,681,255,0,146,261,215,395,265,581,181
2020-07-21 07:10,648,192,338,0,396,217,677,255,0,146,261,216,394,264,580,179
2020-07-21 07:15,643,192,338,0,396,216,673,254,0,147,256,215,390,262,579,175
2020-07-21 07:20,639,192,338,0,396,216,670,254,0,147,256,213,386,259,576,173
2020-07-21 07:25,636,192,337,0,396,216,667,253,0,146,256,214,381,255,573,171
2020-07-21 07:30,635,191,336,50,396,216,665,255,0,152,254,212,374,255,572,169
2020-07-21 07:35,628,189,336,50,396,215,660,255,0,152,254,211,370,253,568,166
