Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2021-08-28 00:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 00:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 00:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 00:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 01:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 01:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 01:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 01:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 02:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 02:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 02:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 02:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 03:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 03:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 03:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 04:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 04:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 04:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 04:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 05:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 05:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 05:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:05,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:10,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:15,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:20,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:25,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:30,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:35,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:40,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:45,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:50,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 06:55,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 07:00,643,0,312,0,0,0,674,0,0,134,199,181,341,241,498,270
2021-08-28 07:05,648,181,349,0,302,348,679,232,0,134,199,184,323,243,575,276
2021-08-28 07:10,647,181,349,0,302,348,686,232,0,159,198,183,323,240,575,276
2021-08-28 07:15,646,181,349,0,302,348,685,232,150,159,198,183,323,239,575,276
2021-08-28 07:20,645,181,347,0,302,348,679,232,150,159,198,184,323,239,575,276
2021-08-28 07:25,640,181,347,0,302,348,678,232,150,159,198,184,323,238,575,276
2021-08-28 07:30,638,182,345,0,302,348,673,232,150,158,198,184,323,238,575,276
2021-08-28 07:35,637,180,345,0,302,348,666,232,150,158,199,183,321,238,575,276
2021-08-28 07:40,637,180,345,0,302,348,664,232,150,158,196,183,322,237,575,272
2021-08-28 07:45,634,181,345,0,302,348,660,231,150,158,196,183,322,236,575,269
2021-08-28 07:50,635,180,344,0,303,347,654,231,150,157,194,180,322,236,575,269
2021-08-28 07:55,634,177,344,0,303,347,655,231,150,156,195,179,322,235,575,269
2021-08-28 08:00,633,177,345,0,303,347,648,230,150,156,191,178,321,236,575,268
2021-08-28 08:05,633,177,343,0,304,347,646,229,150,155,188,176,320,235,575,267
2021-08-28 08:10,632,178,339,0,304,347,641,229,150,154,187,176,318,234,575,267
2021-08-28 08:15,633,178,336,0,304,347,637,227,150,153,188,180,317,234,575,267
2021-08-28 08:20,633,180,336,0,304,347,638,227,150,152,187,183,316,231,574,267
2021-08-28 08:25,634,178,335,0,304,347,637,227,146,151,185,182,316,230,573,267
2021-08-28 08:30,634,179,333,0,306,347,636,227,145,152,184,182,314,228,574,267
2021-08-28 08:35,633,175,328,0,306,347,630,224,145,150,182,182,311,225,574,267
2021-08-28 08:40,633,178,325,0,306,346,623,224,146,150,178,182,310,221,574,267
2021-08-28 08:45,630,178,321,0,306,342,624,224,141,148,174,181,310,221,572,267
2021-08-28 08:50,629,176,318,0,306,339,620,221,139,148,173,179,310,220,571,266
2021-08-28 08:55,628,176,315,0,307,338,615,220,137,147,167,179,308,218,571,265
2021-08-28 09:00,619,174,309,0,307,336,609,220,134,147,166,178,305,215,570,266
2021-08-28 09:05,615,172,304,0,307,334,599,216,127,142,162,173,301,211,568,265
2021-08-28 09:10,609,168,296,0,307,330,596,214,123,136,161,173,298,207,568,263
2021-08-28 09:15,602,164,294,0,307,327,581,214,121,136,154,173,295,207,568,263
2021-08-28 09:20,596,161,293,0,309,325,575,211,115,131,152,175,294,207,567,263
2021-08-28 09:25,586,159,286,0,309,322,568,207,105,129,148,176,290,209,566,263
2021-08-28 09:30,579,156,279,0,309,318,563,204,95,124,143,176,291,209,567,263
2021-08-28 09:35,573,150,262,0,310,316,550,202,81,123,131,175,285,207,567,263
2021-08-28 09:40,566,142,246,0,311,310,528,200,76,117,125,175,283,203,567,262
2021-08-28 09:45,556,129,231,0,312,306,516,195,67,113,119,176,277,203,565,262
2021-08-28 09:50,542,127,225,0,312,306,499,192,59,109,112,170,274,201,563,262
2021-08-28 09:55,534,122,207,0,316,299,472,192,49,105,105,170,271,199,561,263
2021-08-28 10:00,519,111,194,0,319,293,441,189,41,103,93,169,270,195,561,263
2021-08-28 10:05,511,103,172,0,322,284,413,184,33,101,78,165,261,191,558,262
2021-08-28 10:10,503,92,160,0,324,276,400,180,24,98,74,167,258,190,557,262
2021-08-28 10:15,491,80,145,0,324,264,375,179,9,96,66,165,257,188,558,262
2021-08-28 10:20,486,73,131,0,325,261,366,179,7,90,57,163,249,188,558,261
2021-08-28 10:25,477,68,113,0,328,255,346,176,1,88,52,160,244,187,558,261
2021-08-28 10:30,462,56,96,0,333,245,325,170,0,86,39,159,239,188,558,261
2021-08-28 10:35,456,53,81,0,334,239,306,164,0,84,28,160,234,185,558,261
2021-08-28 10:40,448,48,71,0,336,228,296,162,0,80,19,159,230,180,556,261
2021-08-28 10:45,438,45,63,0,337,217,278,162,0,77,10,158,224,176,555,261
2021-08-28 10:50,425,41,46,0,338,206,267,151,0,73,6,153,216,173,556,260
2021-08-28 10:55,411,35,36,0,340,199,238,151,0,67,1,151,212,167,556,260
2021-08-28 11:00,403,33,32,0,341,189,220,146,0,53,1,151,203,166,556,260
2021-08-28 11:05,403,27,15,0,342,179,200,143,0,45,2,152,198,165,557,259
2021-08-28 11:10,387,24,3,0,343,169,172,140,0,28,1,151,190,162,559,257
2021-08-28 11:15,373,18,0,0,347,158,151,136,0,27,2,151,183,158,560,257
2021-08-28 11:20,361,3,0,0,348,145,139,134,0,20,2,150,175,151,560,257
2021-08-28 11:25,347,4,0,0,350,129,124,128,0,22,3,144,164,147,558,257
2021-08-28 11:30,328,0,0,0,354,111,108,128,0,14,1,139,152,137,558,257
2021-08-28 11:35,319,0,0,0,355,100,94,127,0,10,2,139,140,134,556,256
2021-08-28 11:40,303,0,0,0,355,95,85,127,0,5,1,140,141,130,555,256
2021-08-28 11:45,277,0,1,0,355,83,66,122,0,0,1,133,121,129,551,256
2021-08-28 11:50,263,0,0,0,355,77,55,123,0,0,2,134,114,124,551,256
2021-08-28 11:55,248,0,0,0,356,62,34,114,0,0,2,130,104,122,545,256
2021-08-28 12:00,242,0,0,0,360,58,25,109,0,0,2,131,95,121,539,256
2021-08-28 12:05,234,0,0,0,362,44,14,106,0,0,2,131,86,120,534,256
2021-08-28 12:10,218,0,3,0,367,29,3,102,0,0,2,126,82,119,530,256
2021-08-28 12:15,206,0,0,0,373,17,0,101,0,0,2,127,80,116,527,255
2021-08-28 12:20,192,0,0,0,373,12,0,99,0,0,1,127,77,112,522,255
2021-08-28 12:25,174,3,1,0,379,2,0,99,0,0,2,127,65,108,516,253
2021-08-28 12:30,161,1,0,0,382,0,0,91,0,0,1,120,59,104,510,253
2021-08-28 12:35,163,0,0,0,386,0,0,81,0,0,1,120,57,105,503,252
2021-08-28 12:40,154,0,0,0,392,0,0,77,0,0,3,124,47,104,495,252
2021-08-28 12:45,153,0,0,0,395,0,0,69,0,0,1,126,43,102,492,252
2021-08-28 12:50,143,0,0,0,401,9,0,70,0,0,1,123,37,95,490,252
2021-08-28 12:55,138,0,0,0,404,0,0,68,0,0,1,123,29,95,491,252
2021-08-28 13:00,133,0,0,0,412,0,0,62,0,0,2,122,31,90,491,252
2021-08-28 13:05,128,0,0,0,20,0,0,58,0,0,2,126,25,87,490,252
2021-08-28 13:10,118,0,0,0,29,0,0,59,0,0,1,125,20,87,490,252
2021-08-28 13:15,124,0,0,0,10,0,0,52,0,0,2,121,15,91,488,252
2021-08-28 13:20,122,0,0,0,3,0,0,51,0,0,2,122,13,91,488,252
2021-08-28 13:25,114,0,0,0,11,8,0,48,0,0,2,119,5,88,488,253
2021-08-28 13:30,106,0,0,0,12,0,1,45,1,0,3,118,0,88,486,253
2021-08-28 13:35,98,0,0,0,0,0,0,41,0,0,2,113,1,79,485,253
2021-08-28 13:40,102,0,0,0,0,0,6,35,0,0,2,113,8,74,485,254
2021-08-28 13:50,99,0,0,0,0,0,0,38,0,0,4,111,9,70,485,254
2021-08-28 13:55,94,0,6,0,0,0,0,36,0,0,2,107,8,72,487,255
2021-08-28 14:00,87,0,0,0,0,0,0,34,0,0,3,106,13,70,486,254
2021-08-28 14:05,85,0,0,0,0,0,17,29,0,0,2,111,16,73,485,255
2021-08-28 14:10,75,0,1,0,0,0,20,28,0,0,0,109,13,70,485,255
2021-08-28 14:15,73,2,3,0,0,0,21,30,0,0,0,115,14,70,485,254
2021-08-28 14:20,77,2,4,0,0,0,35,37,0,0,2,116,23,68,485,253
2021-08-28 14:25,82,6,4,0,2,0,44,40,0,0,1,118,18,67,487,253
2021-08-28 14:30,97,3,7,0,10,0,52,50,0,0,2,117,21,67,484,254
2021-08-28 14:35,110,1,5,0,22,0,57,54,0,5,6,121,30,72,481,253
2021-08-28 14:40,116,2,2,0,31,0,60,52,1,8,7,122,26,71,481,253
2021-08-28 14:45,117,0,5,0,39,0,55,59,0,13,7,124,30,73,480,254
2021-08-28 14:50,125,0,4,0,45,0,47,62,0,20,7,123,28,72,479,254
2021-08-28 14:55,130,0,3,0,57,0,45,64,0,25,16,124,13,71,483,254
2021-08-28 15:00,151,1,0,0,64,0,52,71,0,24,26,130,20,69,488,253
2021-08-28 15:05,159,3,0,0,67,0,55,71,0,32,33,129,25,73,487,253
2021-08-28 15:10,158,4,0,0,78,0,65,75,0,37,29,129,33,71,491,258
2021-08-28 15:15,173,1,3,0,86,0,71,83,0,41,34,131,35,72,495,259
2021-08-28 15:20,195,0,11,0,97,0,87,82,0,45,24,137,31,75,496,259
2021-08-28 15:25,212,0,15,0,99,0,97,81,0,45,25,140,40,79,498,259
2021-08-28 15:30,228,0,17,0,103,0,101,81,0,38,27,146,40,81,496,260
2021-08-28 15:35,241,4,11,0,109,0,110,87,0,41,29,143,41,88,494,260
2021-08-28 15:40,255,5,12,0,118,0,139,94,0,40,22,143,49,90,496,261
2021-08-28 15:45,271,8,14,0,128,0,146,102,0,36,18,142,57,91,498,261
2021-08-28 15:50,278,3,10,0,137,0,150,101,0,37,6,146,63,97,498,261
2021-08-28 15:55,283,0,9,0,144,0,154,100,0,36,6,144,62,94,499,262
2021-08-28 16:00,290,0,0,0,152,0,147,99,0,32,8,140,66,97,499,261
2021-08-28 16:05,291,2,1,0,152,0,148,97,0,36,14,141,69,99,498,261
2021-08-28 16:10,297,1,5,0,167,0,149,101,0,37,10,141,77,102,494,262
2021-08-28 16:15,305,0,12,0,178,0,160,103,0,37,2,148,76,101,493,262
2021-08-28 16:20,312,1,14,0,186,0,173,103,0,33,3,148,75,103,493,266
2021-08-28 16:25,327,2,17,0,198,0,182,105,0,29,2,150,78,106,496,267
2021-08-28 16:30,335,2,15,0,204,0,190,111,0,24,2,148,86,100,497,267
2021-08-28 16:35,344,0,14,0,212,0,199,110,0,20,2,148,88,104,494,266
2021-08-28 16:40,349,5,25,0,219,0,201,110,0,20,7,148,98,106,493,266
2021-08-28 16:45,353,9,25,0,221,0,210,110,0,17,2,150,105,109,491,266
2021-08-28 16:50,363,13,27,0,229,0,220,116,0,16,4,150,104,112,495,266
2021-08-28 17:00,386,15,34,0,245,0,236,127,0,17,2,147,115,118,492,269
2021-08-28 17:05,393,14,37,0,250,0,255,131,0,21,5,146,128,124,493,270
2021-08-28 17:10,409,23,35,0,255,0,267,135,0,26,8,144,133,120,495,270
2021-08-28 17:15,428,26,50,0,265,0,289,141,0,30,12,143,149,127,504,270
2021-08-28 17:20,429,28,54,0,271,0,308,146,0,33,9,144,150,127,499,270
2021-08-28 17:25,439,31,60,0,278,0,313,146,0,34,13,140,160,126,493,270
2021-08-28 17:30,443,32,70,0,291,0,323,150,0,37,15,133,168,128,490,270
2021-08-28 17:35,448,36,76,0,299,0,333,155,1,43,14,136,171,133,487,269
2021-08-28 17:40,458,35,76,0,306,0,344,156,0,44,17,138,179,130,485,269
2021-08-28 17:45,469,38,80,0,312,0,356,162,0,48,17,139,185,132,478,269
2021-08-28 17:50,477,40,84,0,316,0,364,166,4,52,19,139,188,129,478,269
2021-08-28 17:55,488,48,87,0,322,0,373,171,5,54,23,137,188,129,475,269
2021-08-28 18:00,496,51,93,0,326,0,376,174,14,58,30,128,190,129,474,269
2021-08-28 18:05,508,50,100,0,337,0,388,179,18,65,34,122,194,130,474,269
2021-08-28 18:10,514,51,105,0,342,0,399,181,20,68,37,123,198,134,472,268
2021-08-28 18:15,521,52,106,0,346,0,413,184,24,71,41,120,203,137,468,267
2021-08-28 18:20,524,55,115,0,351,0,419,192,22,73,39,120,209,140,466,267
2021-08-28 18:25,525,63,126,0,356,0,430,192,22,78,39,121,219,142,463,267
2021-08-28 18:30,530,68,130,0,364,0,438,190,25,83,44,125,223,143,465,267
2021-08-28 18:35,536,76,142,0,374,0,452,193,32,89,51,122,229,143,464,267
2021-08-28 18:40,539,77,154,0,377,0,474,197,41,93,56,124,236,148,462,267
2021-08-28 18:45,539,79,156,0,382,0,478,202,44,97,57,123,238,153,459,267
2021-08-28 18:50,542,85,160,0,387,0,487,203,48,99,69,121,240,151,458,266
2021-08-28 18:55,546,86,166,0,394,0,492,203,57,102,74,124,241,152,454,265
2021-08-28 19:00,550,88,169,0,401,0,498,205,59,106,78,127,244,153,456,265
2021-08-28 19:05,551,87,174,0,402,0,504,205,64,110,82,128,244,147,457,266
2021-08-28 19:10,554,87,174,0,407,0,515,207,73,117,87,131,243,152,457,267
