Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2020-12-17 00:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 00:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 00:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 00:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 01:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 01:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 01:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 01:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 02:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 02:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 02:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 02:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 03:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 03:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 03:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 03:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 04:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 04:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 04:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 04:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 05:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 05:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 05:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 05:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:05,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:10,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:15,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:20,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:25,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:30,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:35,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:40,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:45,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:50,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 06:55,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 07:00,660,0,362,0,0,0,708,0,150,152,293,239,430,279,485,166
2020-12-17 07:05,647,193,345,0,0,0,679,0,0,163,0,227,408,256,468,129
2020-12-17 07:10,643,193,344,0,0,0,672,0,0,163,0,227,405,254,468,124
2020-12-17 07:15,641,193,345,0,0,0,672,0,0,162,0,228,402,254,467,120
2020-12-17 07:20,639,192,345,0,0,0,669,0,0,162,0,228,396,252,467,117
2020-12-17 07:25,631,192,345,0,0,0,664,0,0,161,0,225,393,249,465,114
2020-12-17 07:30,628,191,342,0,0,0,655,0,0,161,0,225,387,246,461,112
2020-12-17 07:35,625,191,338,0,0,0,650,0,0,161,0,222,380,244,456,108
2020-12-17 07:40,622,190,334,0,0,0,644,0,0,160,0,221,375,244,452,104
2020-12-17 07:45,618,190,330,0,0,0,642,0,0,160,0,220,371,239,452,103
2020-12-17 07:50,616,187,329,0,0,0,637,0,0,157,0,217,360,238,450,100
2020-12-17 07:55,608,185,324,0,0,0,631,0,150,156,0,216,353,234,449,95
2020-12-17 08:00,601,181,320,0,0,0,625,0,150,156,0,217,347,231,448,90
2020-12-17 08:05,596,180,317,0,0,0,622,0,150,156,0,214,344,226,448,85
2020-12-17 08:10,586,178,315,0,0,0,615,0,150,154,0,213,337,225,447,87
2020-12-17 08:15,580,177,313,0,0,0,609,0,150,154,0,211,326,222,446,83
2020-12-17 08:20,575,175,310,0,0,0,605,0,150,153,0,207,316,220,445,80
2020-12-17 08:25,573,173,308,0,0,0,595,0,150,152,0,207,310,219,446,79
2020-12-17 08:30,568,171,306,0,0,0,584,0,150,151,0,205,308,217,444,79
2020-12-17 08:35,563,165,302,0,0,0,578,0,149,149,0,205,307,220,445,77
2020-12-17 08:40,559,166,301,0,200,0,572,0,147,149,0,204,300,220,444,75
2020-12-17 08:45,553,157,296,0,201,0,564,0,146,148,0,201,298,220,441,73
2020-12-17 08:50,548,154,294,63,201,0,558,0,143,147,0,200,295,215,435,73
2020-12-17 08:55,543,151,286,63,201,0,551,0,141,140,0,199,284,211,434,72
2020-12-17 09:00,542,150,282,63,201,375,547,0,141,140,0,197,282,208,434,72
2020-12-17 09:05,542,147,278,63,201,374,540,238,138,141,0,193,284,207,432,71
2020-12-17 09:10,539,149,274,63,201,370,534,238,138,142,0,192,276,207,432,70
2020-12-17 09:15,532,145,272,63,201,370,530,238,132,140,0,195,279,206,430,73
2020-12-17 09:20,531,142,273,63,201,367,523,237,131,140,0,195,277,204,428,73
2020-12-17 09:25,529,142,272,63,201,366,522,237,133,141,0,194,277,202,427,72
2020-12-17 09:30,530,143,271,63,201,365,521,237,131,141,0,194,276,198,426,72
2020-12-17 09:35,527,138,264,63,201,362,514,237,132,144,0,194,267,195,424,74
2020-12-17 09:40,526,134,265,63,201,361,512,235,130,143,0,192,260,193,424,74
2020-12-17 09:45,523,134,263,63,201,360,511,235,129,144,0,191,260,194,423,75
2020-12-17 09:50,517,137,258,63,201,357,509,232,126,143,0,190,254,193,422,75
2020-12-17 09:55,513,134,250,63,201,352,508,231,125,139,0,190,248,194,426,76
2020-12-17 10:00,507,136,249,63,201,350,504,232,120,139,0,187,250,194,425,77
2020-12-17 10:05,506,132,244,63,202,349,504,233,119,139,0,186,250,192,426,75
2020-12-17 10:10,504,127,245,63,202,344,503,234,116,139,0,182,247,194,427,74
2020-12-17 10:15,505,124,247,63,202,344,500,234,117,138,0,181,250,194,426,75
2020-12-17 10:20,504,128,248,63,202,342,494,233,119,138,0,181,246,192,426,76
2020-12-17 10:25,505,124,245,63,202,338,488,234,118,138,0,181,244,191,426,77
2020-12-17 10:30,504,120,245,63,202,335,489,232,119,138,0,181,248,192,425,75
2020-12-17 10:35,504,123,248,63,202,332,488,232,122,138,0,183,243,188,422,75
2020-12-17 10:40,504,119,247,63,203,330,489,230,127,138,0,182,243,187,422,77
2020-12-17 10:45,506,113,247,63,203,324,488,231,126,136,0,183,241,189,421,78
2020-12-17 10:50,501,113,248,63,203,323,488,230,124,134,0,182,241,186,422,79
2020-12-17 10:55,497,108,245,63,203,321,493,231,125,133,0,181,237,187,419,78
2020-12-17 11:00,494,102,250,63,203,318,491,229,126,132,0,177,238,187,420,78
2020-12-17 11:05,497,101,251,63,204,317,491,230,125,131,0,175,239,185,421,78
2020-12-17 11:10,500,106,257,63,205,316,493,228,125,132,0,176,240,183,423,80
2020-12-17 11:15,501,106,261,63,206,315,495,225,126,132,0,179,238,182,425,76
2020-12-17 11:20,501,107,258,63,206,314,493,224,128,129,0,179,241,181,426,76
2020-12-17 11:25,501,109,259,63,206,312,497,223,130,129,0,182,243,180,427,76
2020-12-17 11:30,500,105,254,63,206,309,496,224,131,132,0,182,237,176,425,77
2020-12-17 11:35,501,104,252,63,206,309,498,224,130,132,0,183,237,177,425,76
2020-12-17 11:40,502,106,253,63,206,308,499,225,129,132,0,186,239,179,424,75
2020-12-17 11:45,502,105,254,63,206,308,498,226,129,132,0,187,240,178,424,75
2020-12-17 11:50,498,109,256,63,206,307,498,228,130,131,0,187,242,182,424,73
2020-12-17 11:55,494,118,256,63,206,306,498,227,132,132,0,191,243,187,425,72
2020-12-17 12:00,495,116,255,63,207,305,502,226,133,134,0,190,247,189,427,71
2020-12-17 12:05,497,116,260,63,207,305,506,227,134,133,0,189,249,192,428,71
2020-12-17 12:10,498,118,264,63,209,302,508,228,134,136,0,185,252,191,429,69
2020-12-17 12:15,500,120,268,63,209,302,515,230,136,137,0,186,258,193,430,67
2020-12-17 12:20,503,123,270,63,209,301,521,230,139,137,0,190,260,199,432,67
2020-12-17 12:25,504,124,272,63,209,301,524,230,140,135,228,191,259,200,430,69
2020-12-17 12:30,501,128,271,63,209,297,526,231,140,137,228,193,263,206,430,66
2020-12-17 12:35,506,127,272,63,209,297,527,231,141,137,229,194,267,209,430,68
2020-12-17 12:40,512,128,272,63,210,296,528,230,145,137,232,191,269,210,430,70
2020-12-17 12:45,513,131,273,63,210,294,530,230,145,138,235,192,269,212,431,71
2020-12-17 12:50,512,132,281,63,211,293,528,230,144,137,236,197,273,215,432,70
2020-12-17 12:55,509,134,283,63,211,293,528,229,144,138,236,197,274,214,432,70
2020-12-17 13:00,512,132,284,63,211,292,530,230,144,137,237,198,274,215,432,70
2020-12-17 13:05,512,133,285,63,211,292,528,230,144,137,233,196,275,214,434,71
2020-12-17 13:10,516,137,288,63,212,290,525,232,142,136,237,197,278,216,435,69
2020-12-17 13:15,520,139,290,63,212,290,523,233,142,135,236,197,280,218,435,71
2020-12-17 13:20,528,141,294,63,212,290,524,235,140,136,236,199,278,218,438,71
2020-12-17 13:25,529,144,291,63,212,289,524,236,141,135,242,199,280,217,438,71
2020-12-17 13:30,529,147,289,63,213,289,527,235,144,136,243,199,280,218,440,72
2020-12-17 13:35,528,149,290,63,213,285,528,234,142,136,240,198,281,217,441,73
2020-12-17 13:40,532,148,293,63,213,282,527,233,137,136,238,199,284,216,441,76
2020-12-17 13:45,534,148,291,63,215,282,529,233,137,135,236,200,284,217,441,78
2020-12-17 13:50,531,148,290,63,215,281,531,234,137,134,239,199,283,219,441,78
2020-12-17 13:55,531,146,287,63,216,280,531,232,137,133,242,197,276,221,442,77
2020-12-17 14:00,538,145,283,63,217,280,535,233,139,133,240,194,275,221,444,77
2020-12-17 14:05,542,144,284,63,217,277,536,234,140,134,240,195,277,221,444,80
2020-12-17 14:10,538,143,279,63,217,275,532,234,140,135,239,199,282,222,443,80
2020-12-17 14:15,538,143,279,63,217,273,531,234,140,135,241,202,285,221,443,79
2020-12-17 14:20,533,144,276,63,217,272,533,235,137,137,238,201,282,226,446,76
