Datum und Uhrzeit,,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-12-02 00:00,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 00:15,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 00:30,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 00:45,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 01:00,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 01:15,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 01:30,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 01:45,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 02:00,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 02:15,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 02:30,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 02:45,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 03:00,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 03:15,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 03:30,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 03:45,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 04:00,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 04:15,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 04:30,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
2022-12-02 04:45,0,654,0,351,0,0,0,674,0,150,154,240,100,314,192,575,323
